domain,key,context,locale,source_text,expected_text,human_reviewed,text
company,col.name,,es_ES,Name,Nombre,0,Nombre
company,contacts,,es_ES,Contacts,Contactos,0,Contactos
company,description.back_to_list,,es_ES,"Back to company list","Volver a la lista de empresas",0,"Volver a la lista de empresas"
company,description.widget_description,,es_ES,"Company datasheet","Ficha de empresa",0,"Ficha de empresa"
company,description.widget_name,,es_ES,"Company datasheet","Ficha de empresa",0,"Ficha de empresa"
company,field.company_id.label,,es_ES,"Company ID","ID de empresa",0,"ID de empresa"
company,field.name.explanation,,es_ES,"Enter the company name (including e.v. suffix for sole traders)","Introduzca el nombre de la empresa (incluyendo el sufijo e.v. para autónomos)",0,"Introduzca el nombre de la empresa (incluyendo el sufijo e.v. para autónomos)"
company,field.name.label,,es_ES,"Company name","Nombre de la empresa",0,"Nombre de la empresa"
company,field.name.unique_error,,es_ES,"A company with this name already exists","Ya existe una empresa con este nombre",0,"Ya existe una empresa con este nombre"
company,field.shortname.explanation,,es_ES,"Enter the abbreviated company name for easy searching","Introduzca el nombre abreviado de la empresa para facilitar la búsqueda",0,"Introduzca el nombre abreviado de la empresa para facilitar la búsqueda"
company,field.shortname.label,,es_ES,"Short name","Nombre abreviado",0,"Nombre abreviado"
company,form.name,,es_ES,Company,Empresa,0,Empresa
company,form.title_create,,es_ES,"New company","Nueva empresa",0,"Nueva empresa"
company,form.title_edit,,es_ES,"Edit company","Editar empresa",0,"Editar empresa"
company,list.new,,es_ES,"New company","Nueva empresa",0,"Nueva empresa"
company,list.title,,es_ES,Companies,Empresas,0,Empresas
company,list.widget_description,,es_ES,"Company list","Lista de empresas",0,"Lista de empresas"
company,list.widget_name,,es_ES,"Company list","Lista de empresas",0,"Lista de empresas"
company,saved,,es_ES,"Company saved","Empresa guardada",0,"Empresa guardada"
company,unknown,,es_ES,"Unknown company","Empresa desconocida",0,"Empresa desconocida"
company,updated,,es_ES,"Company updated","Empresa actualizada",0,"Empresa actualizada"
