domain,key,context,locale,source_text,expected_text,human_reviewed,text
company,col.name,,it_IT,Name,Nome,0,Nome
company,contacts,,it_IT,Contacts,Contatti,0,Contatti
company,description.back_to_list,,it_IT,"Back to company list","Torna all'elenco aziende",0,"Torna all'elenco aziende"
company,description.widget_description,,it_IT,"Company datasheet","Scheda azienda",0,"Scheda azienda"
company,description.widget_name,,it_IT,"Company datasheet","Scheda azienda",0,"Scheda azienda"
company,field.company_id.label,,it_IT,"Company ID","ID azienda",0,"ID azienda"
company,field.name.explanation,,it_IT,"Enter the company name (including e.v. suffix for sole traders)","Inserisci il nome dell'azienda (incluso il suffisso e.v. per i liberi professionisti)",0,"Inserisci il nome dell'azienda (incluso il suffisso e.v. per i liberi professionisti)"
company,field.name.label,,it_IT,"Company name","Nome azienda",0,"Nome azienda"
company,field.name.unique_error,,it_IT,"A company with this name already exists","Esiste già un'azienda con questo nome",0,"Esiste già un'azienda con questo nome"
company,field.shortname.explanation,,it_IT,"Enter the abbreviated company name for easy searching","Inserisci il nome abbreviato dell'azienda per facilitare la ricerca",0,"Inserisci il nome abbreviato dell'azienda per facilitare la ricerca"
company,field.shortname.label,,it_IT,"Short name","Nome abbreviato",0,"Nome abbreviato"
company,form.name,,it_IT,Company,Azienda,0,Azienda
company,form.title_create,,it_IT,"New company","Nuova azienda",0,"Nuova azienda"
company,form.title_edit,,it_IT,"Edit company","Modifica azienda",0,"Modifica azienda"
company,list.new,,it_IT,"New company","Nuova azienda",0,"Nuova azienda"
company,list.title,,it_IT,Companies,Aziende,0,Aziende
company,list.widget_description,,it_IT,"Company list","Elenco aziende",0,"Elenco aziende"
company,list.widget_name,,it_IT,"Company list","Elenco aziende",0,"Elenco aziende"
company,saved,,it_IT,"Company saved","Azienda salvata",0,"Azienda salvata"
company,unknown,,it_IT,"Unknown company","Azienda sconosciuta",0,"Azienda sconosciuta"
company,updated,,it_IT,"Company updated","Azienda aggiornata",0,"Azienda aggiornata"
