domain,key,context,locale,source_text,expected_text,human_reviewed,text
company,col.name,,ko_KR,Name,이름,0,이름
company,contacts,,ko_KR,Contacts,담당자,0,담당자
company,description.back_to_list,,ko_KR,"Back to company list","회사 목록으로 돌아가기",0,"회사 목록으로 돌아가기"
company,description.widget_description,,ko_KR,"Company datasheet","회사 데이터시트",0,"회사 데이터시트"
company,description.widget_name,,ko_KR,"Company datasheet","회사 데이터시트",0,"회사 데이터시트"
company,field.company_id.label,,ko_KR,"Company ID","회사 ID",0,"회사 ID"
company,field.name.explanation,,ko_KR,"Enter the company name (including e.v. suffix for sole traders)","회사 이름을 입력하세요 (개인사업자의 경우 e.v. 접미사 포함)",0,"회사 이름을 입력하세요 (개인사업자의 경우 e.v. 접미사 포함)"
company,field.name.label,,ko_KR,"Company name","회사 이름",0,"회사 이름"
company,field.name.unique_error,,ko_KR,"A company with this name already exists","이 이름의 회사가 이미 존재합니다",0,"이 이름의 회사가 이미 존재합니다"
company,field.shortname.explanation,,ko_KR,"Enter the abbreviated company name for easy searching","쉬운 검색을 위해 약식 회사 이름을 입력하세요",0,"쉬운 검색을 위해 약식 회사 이름을 입력하세요"
company,field.shortname.label,,ko_KR,"Short name","약식 이름",0,"약식 이름"
company,form.name,,ko_KR,Company,회사,0,회사
company,form.title_create,,ko_KR,"New company","새 회사",0,"새 회사"
company,form.title_edit,,ko_KR,"Edit company","회사 편집",0,"회사 편집"
company,list.new,,ko_KR,"New company","새 회사",0,"새 회사"
company,list.title,,ko_KR,Companies,회사,0,회사
company,list.widget_description,,ko_KR,"Company list","회사 목록",0,"회사 목록"
company,list.widget_name,,ko_KR,"Company list","회사 목록",0,"회사 목록"
company,saved,,ko_KR,"Company saved","회사 저장됨",0,"회사 저장됨"
company,unknown,,ko_KR,"Unknown company","알 수 없는 회사",0,"알 수 없는 회사"
company,updated,,ko_KR,"Company updated","회사 업데이트됨",0,"회사 업데이트됨"
