domain,key,context,locale,source_text,expected_text,human_reviewed,text
contact,col.company,,de_DE,Company,Unternehmen,0,Unternehmen
contact,col.name,,de_DE,Name,Name,0,Name
contact,description.back_to_list,,de_DE,"Back to contact person list","Zurück zur Kontaktpersonenliste",0,"Zurück zur Kontaktpersonenliste"
contact,description.widget_description,,de_DE,"Contact person datasheet",Kontaktpersonenblatt,0,Kontaktpersonenblatt
contact,description.widget_name,,de_DE,"Contact person datasheet",Kontaktpersonenblatt,0,Kontaktpersonenblatt
contact,field.company_id.label,,de_DE,"Connected company ID","Verbundene Unternehmens-ID",0,"Verbundene Unternehmens-ID"
contact,field.company.explanation,,de_DE,"Enter the company name (you can also use the short name)","Unternehmensnamen eingeben (Kurzname möglich)",0,"Unternehmensnamen eingeben (Kurzname möglich)"
contact,field.company.label,,de_DE,"Connected company","Verbundenes Unternehmen",0,"Verbundenes Unternehmen"
contact,field.company.multiple_error,,de_DE,"Multiple companies found with that short name, please select one from the list","Mehrere Unternehmen mit diesem Kurznamen gefunden, bitte eines aus der Liste auswählen",0,"Mehrere Unternehmen mit diesem Kurznamen gefunden, bitte eines aus der Liste auswählen"
contact,field.company.not_found_error,,de_DE,"No company found with that name, please select from the list (or add a new company)","Kein Unternehmen mit diesem Namen gefunden, aus der Liste auswählen (oder neues hinzufügen)",0,"Kein Unternehmen mit diesem Namen gefunden, aus der Liste auswählen (oder neues hinzufügen)"
contact,field.name.explanation,,de_DE,"Enter the contact person name","Name der Kontaktperson eingeben",0,"Name der Kontaktperson eingeben"
contact,field.name.label,,de_DE,"Contact person name","Name der Kontaktperson",0,"Name der Kontaktperson"
contact,field.name.unique_error,,de_DE,"A contact with this name already exists for this company","Ein Kontakt mit diesem Namen existiert bereits für dieses Unternehmen",0,"Ein Kontakt mit diesem Namen existiert bereits für dieses Unternehmen"
contact,form.name,,de_DE,"Contact person",Kontaktperson,0,Kontaktperson
contact,form.title_create,,de_DE,"New contact person","Neue Kontaktperson",0,"Neue Kontaktperson"
contact,form.title_edit,,de_DE,"Edit contact person","Kontaktperson bearbeiten",0,"Kontaktperson bearbeiten"
contact,list.new,,de_DE,"New contact person","Neue Kontaktperson",0,"Neue Kontaktperson"
contact,list.title,,de_DE,"Contact persons",Kontaktpersonen,0,Kontaktpersonen
contact,list.widget_description,,de_DE,"Contact person list",Kontaktpersonenliste,0,Kontaktpersonenliste
contact,list.widget_name,,de_DE,"Contact person list",Kontaktpersonenliste,0,Kontaktpersonenliste
contact,saved,,de_DE,"Contact saved","Kontakt gespeichert",0,"Kontakt gespeichert"
contact,unknown,,de_DE,"Unknown contact","Unbekannter Kontakt",0,"Unbekannter Kontakt"
contact,updated,,de_DE,"Contact updated","Kontakt aktualisiert",0,"Kontakt aktualisiert"
