domain,key,context,locale,source_text,expected_text,human_reviewed,text
contact,col.company,,en_US,Company,Company,0,Company
contact,col.name,,en_US,Name,Name,0,Name
contact,description.back_to_list,,en_US,"Back to contact person list","Back to contact person list",0,"Back to contact person list"
contact,description.widget_description,,en_US,"Contact person datasheet","Contact person datasheet",0,"Contact person datasheet"
contact,description.widget_name,,en_US,"Contact person datasheet","Contact person datasheet",0,"Contact person datasheet"
contact,field.company_id.label,,en_US,"Connected company ID","Connected company ID",0,"Connected company ID"
contact,field.company.explanation,,en_US,"Enter the company name (you can also use the short name)","Enter the company name (you can also use the short name)",0,"Enter the company name (you can also use the short name)"
contact,field.company.label,,en_US,"Connected company","Connected company",0,"Connected company"
contact,field.company.multiple_error,,en_US,"Multiple companies found with that short name, please select one from the list","Multiple companies found with that short name, please select one from the list",0,"Multiple companies found with that short name, please select one from the list"
contact,field.company.not_found_error,,en_US,"No company found with that name, please select from the list (or add a new company)","No company found with that name, please select from the list (or add a new company)",0,"No company found with that name, please select from the list (or add a new company)"
contact,field.name.explanation,,en_US,"Enter the contact person name","Enter the contact person name",0,"Enter the contact person name"
contact,field.name.label,,en_US,"Contact person name","Contact person name",0,"Contact person name"
contact,field.name.unique_error,,en_US,"A contact with this name already exists for this company","A contact with this name already exists for this company",0,"A contact with this name already exists for this company"
contact,form.name,,en_US,"Contact person","Contact person",0,"Contact person"
contact,form.title_create,,en_US,"New contact person","New contact person",0,"New contact person"
contact,form.title_edit,,en_US,"Edit contact person","Edit contact person",0,"Edit contact person"
contact,list.new,,en_US,"New contact person","New contact person",0,"New contact person"
contact,list.title,,en_US,"Contact persons","Contact persons",0,"Contact persons"
contact,list.widget_description,,en_US,"Contact person list","Contact person list",0,"Contact person list"
contact,list.widget_name,,en_US,"Contact person list","Contact person list",0,"Contact person list"
contact,saved,,en_US,"Contact saved","Contact saved",0,"Contact saved"
contact,unknown,,en_US,"Unknown contact","Unknown contact",0,"Unknown contact"
contact,updated,,en_US,"Contact updated","Contact updated",0,"Contact updated"
