domain,key,context,locale,source_text,expected_text,human_reviewed,text
contact,col.company,,fr_FR,Company,Entreprise,0,Entreprise
contact,col.name,,fr_FR,Name,Nom,0,Nom
contact,description.back_to_list,,fr_FR,"Back to contact person list","Retour à la liste des personnes de contact",0,"Retour à la liste des personnes de contact"
contact,description.widget_description,,fr_FR,"Contact person datasheet","Fiche de la personne de contact",0,"Fiche de la personne de contact"
contact,description.widget_name,,fr_FR,"Contact person datasheet","Fiche de la personne de contact",0,"Fiche de la personne de contact"
contact,field.company_id.label,,fr_FR,"Connected company ID","ID de l'entreprise associée",0,"ID de l'entreprise associée"
contact,field.company.explanation,,fr_FR,"Enter the company name (you can also use the short name)","Saisir le nom de l'entreprise (vous pouvez aussi utiliser le nom abrégé)",0,"Saisir le nom de l'entreprise (vous pouvez aussi utiliser le nom abrégé)"
contact,field.company.label,,fr_FR,"Connected company","Entreprise associée",0,"Entreprise associée"
contact,field.company.multiple_error,,fr_FR,"Multiple companies found with that short name, please select one from the list","Plusieurs entreprises trouvées avec ce nom abrégé, veuillez en sélectionner une dans la liste",0,"Plusieurs entreprises trouvées avec ce nom abrégé, veuillez en sélectionner une dans la liste"
contact,field.company.not_found_error,,fr_FR,"No company found with that name, please select from the list (or add a new company)","Aucune entreprise trouvée avec ce nom, veuillez sélectionner dans la liste (ou ajouter une nouvelle entreprise)",0,"Aucune entreprise trouvée avec ce nom, veuillez sélectionner dans la liste (ou ajouter une nouvelle entreprise)"
contact,field.name.explanation,,fr_FR,"Enter the contact person name","Saisir le nom de la personne de contact",0,"Saisir le nom de la personne de contact"
contact,field.name.label,,fr_FR,"Contact person name","Nom de la personne de contact",0,"Nom de la personne de contact"
contact,field.name.unique_error,,fr_FR,"A contact with this name already exists for this company","Un contact avec ce nom existe déjà pour cette entreprise",0,"Un contact avec ce nom existe déjà pour cette entreprise"
contact,form.name,,fr_FR,"Contact person","Personne de contact",0,"Personne de contact"
contact,form.title_create,,fr_FR,"New contact person","Nouvelle personne de contact",0,"Nouvelle personne de contact"
contact,form.title_edit,,fr_FR,"Edit contact person","Modifier la personne de contact",0,"Modifier la personne de contact"
contact,list.new,,fr_FR,"New contact person","Nouvelle personne de contact",0,"Nouvelle personne de contact"
contact,list.title,,fr_FR,"Contact persons","Personnes de contact",0,"Personnes de contact"
contact,list.widget_description,,fr_FR,"Contact person list","Liste des personnes de contact",0,"Liste des personnes de contact"
contact,list.widget_name,,fr_FR,"Contact person list","Liste des personnes de contact",0,"Liste des personnes de contact"
contact,saved,,fr_FR,"Contact saved","Contact enregistré",0,"Contact enregistré"
contact,unknown,,fr_FR,"Unknown contact","Contact inconnu",0,"Contact inconnu"
contact,updated,,fr_FR,"Contact updated","Contact mis à jour",0,"Contact mis à jour"
