domain,key,context,locale,source_text,expected_text,human_reviewed,text
contact,col.company,,hu_HU,Company,Cég,0,Cég
contact,col.name,,hu_HU,Name,Név,0,Név
contact,description.back_to_list,,hu_HU,"Back to contact person list","Vissza a kapcsolattartók listájára",0,"Vissza a kapcsolattartók listájára"
contact,description.widget_description,,hu_HU,"Contact person datasheet","Kapcsolattartó adatlap",0,"Kapcsolattartó adatlap"
contact,description.widget_name,,hu_HU,"Contact person datasheet","Kapcsolattartó adatlap",0,"Kapcsolattartó adatlap"
contact,field.company_id.label,,hu_HU,"Connected company ID","Kapcsolódó cég ID",0,"Kapcsolódó cég ID"
contact,field.company.explanation,,hu_HU,"Enter the company name (you can also use the short name)","Írd be a kapcsolódó cég nevét (írhatod a rövid nevet is)",0,"Írd be a kapcsolódó cég nevét (írhatod a rövid nevet is)"
contact,field.company.label,,hu_HU,"Connected company","Kapcsolódó cég",0,"Kapcsolódó cég"
contact,field.company.multiple_error,,hu_HU,"Multiple companies found with that short name, please select one from the list","Erre a rövid névre több találat is van, válassz egyet a listából",0,"Erre a rövid névre több találat is van, válassz egyet a listából"
contact,field.company.not_found_error,,hu_HU,"No company found with that name, please select from the list (or add a new company)","Nem található ilyen cég, válassz a listából (szükség esetén vidd fel az új céget)",0,"Nem található ilyen cég, válassz a listából (szükség esetén vidd fel az új céget)"
contact,field.name.explanation,,hu_HU,"Enter the contact person name","Írd be a kapcsolattartó nevét",0,"Írd be a kapcsolattartó nevét"
contact,field.name.label,,hu_HU,"Contact person name","Kapcsolattartó név",0,"Kapcsolattartó név"
contact,field.name.unique_error,,hu_HU,"A contact with this name already exists for this company","Ezzel a névvel már szerepel ennél a cégnél kapcsolattartó",0,"Ezzel a névvel már szerepel ennél a cégnél kapcsolattartó"
contact,form.name,,hu_HU,"Contact person",Kapcsolattartó,0,Kapcsolattartó
contact,form.title_create,,hu_HU,"New contact person","Új kapcsolattartó adatai",0,"Új kapcsolattartó adatai"
contact,form.title_edit,,hu_HU,"Edit contact person","Kapcsolattartó adatainak módosítása",0,"Kapcsolattartó adatainak módosítása"
contact,list.new,,hu_HU,"New contact person","Új kapcsolattartó",0,"Új kapcsolattartó"
contact,list.title,,hu_HU,"Contact persons",Kapcsolattartók,0,Kapcsolattartók
contact,list.widget_description,,hu_HU,"Contact person list","Kapcsolattartó lista",0,"Kapcsolattartó lista"
contact,list.widget_name,,hu_HU,"Contact person list","Kapcsolattartó lista",0,"Kapcsolattartó lista"
contact,saved,,hu_HU,"Contact saved","Kapcsolattartó rögzítve",0,"Kapcsolattartó rögzítve"
contact,unknown,,hu_HU,"Unknown contact","Ismeretlen kapcsolattartó",0,"Ismeretlen kapcsolattartó"
contact,updated,,hu_HU,"Contact updated","Kapcsolattartó módosítva",0,"Kapcsolattartó módosítva"
