domain,key,context,locale,source_text,expected_text,human_reviewed,text
contact,col.company,,it_IT,Company,Azienda,0,Azienda
contact,col.name,,it_IT,Name,Nome,0,Nome
contact,description.back_to_list,,it_IT,"Back to contact person list","Torna all'elenco contatti",0,"Torna all'elenco contatti"
contact,description.widget_description,,it_IT,"Contact person datasheet","Scheda persona di contatto",0,"Scheda persona di contatto"
contact,description.widget_name,,it_IT,"Contact person datasheet","Scheda persona di contatto",0,"Scheda persona di contatto"
contact,field.company_id.label,,it_IT,"Connected company ID","ID azienda collegata",0,"ID azienda collegata"
contact,field.company.explanation,,it_IT,"Enter the company name (you can also use the short name)","Inserisci il nome dell'azienda (puoi usare anche il nome abbreviato)",0,"Inserisci il nome dell'azienda (puoi usare anche il nome abbreviato)"
contact,field.company.label,,it_IT,"Connected company","Azienda collegata",0,"Azienda collegata"
contact,field.company.multiple_error,,it_IT,"Multiple companies found with that short name, please select one from the list","Trovate più aziende con quel nome abbreviato, selezionane una dall'elenco",0,"Trovate più aziende con quel nome abbreviato, selezionane una dall'elenco"
contact,field.company.not_found_error,,it_IT,"No company found with that name, please select from the list (or add a new company)","Nessuna azienda trovata con quel nome, seleziona dall'elenco (o aggiungi una nuova azienda)",0,"Nessuna azienda trovata con quel nome, seleziona dall'elenco (o aggiungi una nuova azienda)"
contact,field.name.explanation,,it_IT,"Enter the contact person name","Inserisci il nome della persona di contatto",0,"Inserisci il nome della persona di contatto"
contact,field.name.label,,it_IT,"Contact person name","Nome persona di contatto",0,"Nome persona di contatto"
contact,field.name.unique_error,,it_IT,"A contact with this name already exists for this company","Esiste già un contatto con questo nome per questa azienda",0,"Esiste già un contatto con questo nome per questa azienda"
contact,form.name,,it_IT,"Contact person","Persona di contatto",0,"Persona di contatto"
contact,form.title_create,,it_IT,"New contact person","Nuova persona di contatto",0,"Nuova persona di contatto"
contact,form.title_edit,,it_IT,"Edit contact person","Modifica persona di contatto",0,"Modifica persona di contatto"
contact,list.new,,it_IT,"New contact person","Nuova persona di contatto",0,"Nuova persona di contatto"
contact,list.title,,it_IT,"Contact persons","Persone di contatto",0,"Persone di contatto"
contact,list.widget_description,,it_IT,"Contact person list","Elenco persone di contatto",0,"Elenco persone di contatto"
contact,list.widget_name,,it_IT,"Contact person list","Elenco persone di contatto",0,"Elenco persone di contatto"
contact,saved,,it_IT,"Contact saved","Contatto salvato",0,"Contatto salvato"
contact,unknown,,it_IT,"Unknown contact","Contatto sconosciuto",0,"Contatto sconosciuto"
contact,updated,,it_IT,"Contact updated","Contatto aggiornato",0,"Contatto aggiornato"
