domain,key,context,locale,source_text,expected_text,human_reviewed,text
contact,col.company,,ja_JP,Company,会社,0,会社
contact,col.name,,ja_JP,Name,名前,0,名前
contact,description.back_to_list,,ja_JP,"Back to contact person list",担当者一覧に戻る,0,担当者一覧に戻る
contact,description.widget_description,,ja_JP,"Contact person datasheet",担当者データシート,0,担当者データシート
contact,description.widget_name,,ja_JP,"Contact person datasheet",担当者データシート,0,担当者データシート
contact,field.company_id.label,,ja_JP,"Connected company ID",関連会社ID,0,関連会社ID
contact,field.company.explanation,,ja_JP,"Enter the company name (you can also use the short name)",会社名を入力（略称も使用可）,0,会社名を入力（略称も使用可）
contact,field.company.label,,ja_JP,"Connected company",関連会社,0,関連会社
contact,field.company.multiple_error,,ja_JP,"Multiple companies found with that short name, please select one from the list",その略称で複数の会社が見つかりました。一覧から選択してください,0,その略称で複数の会社が見つかりました。一覧から選択してください
contact,field.company.not_found_error,,ja_JP,"No company found with that name, please select from the list (or add a new company)",その名前の会社が見つかりません。一覧から選択するか新しい会社を追加してください,0,その名前の会社が見つかりません。一覧から選択するか新しい会社を追加してください
contact,field.name.explanation,,ja_JP,"Enter the contact person name",担当者名を入力,0,担当者名を入力
contact,field.name.label,,ja_JP,"Contact person name",担当者名,0,担当者名
contact,field.name.unique_error,,ja_JP,"A contact with this name already exists for this company",この会社に同名の担当者が既に存在します,0,この会社に同名の担当者が既に存在します
contact,form.name,,ja_JP,"Contact person",担当者,0,担当者
contact,form.title_create,,ja_JP,"New contact person",新しい担当者,0,新しい担当者
contact,form.title_edit,,ja_JP,"Edit contact person",担当者を編集,0,担当者を編集
contact,list.new,,ja_JP,"New contact person",新しい担当者,0,新しい担当者
contact,list.title,,ja_JP,"Contact persons",担当者,0,担当者
contact,list.widget_description,,ja_JP,"Contact person list",担当者一覧,0,担当者一覧
contact,list.widget_name,,ja_JP,"Contact person list",担当者一覧,0,担当者一覧
contact,saved,,ja_JP,"Contact saved",担当者を保存しました,0,担当者を保存しました
contact,unknown,,ja_JP,"Unknown contact",不明な担当者,0,不明な担当者
contact,updated,,ja_JP,"Contact updated",担当者を更新しました,0,担当者を更新しました
