domain,key,context,locale,source_text,expected_text,human_reviewed,text
contact,col.company,,ko_KR,Company,회사,0,회사
contact,col.name,,ko_KR,Name,이름,0,이름
contact,description.back_to_list,,ko_KR,"Back to contact person list","담당자 목록으로 돌아가기",0,"담당자 목록으로 돌아가기"
contact,description.widget_description,,ko_KR,"Contact person datasheet","담당자 데이터시트",0,"담당자 데이터시트"
contact,description.widget_name,,ko_KR,"Contact person datasheet","담당자 데이터시트",0,"담당자 데이터시트"
contact,field.company_id.label,,ko_KR,"Connected company ID","연결된 회사 ID",0,"연결된 회사 ID"
contact,field.company.explanation,,ko_KR,"Enter the company name (you can also use the short name)","회사 이름을 입력하세요 (약식 이름도 사용 가능)",0,"회사 이름을 입력하세요 (약식 이름도 사용 가능)"
contact,field.company.label,,ko_KR,"Connected company","연결된 회사",0,"연결된 회사"
contact,field.company.multiple_error,,ko_KR,"Multiple companies found with that short name, please select one from the list","해당 약식 이름의 회사가 여러 개 있습니다. 목록에서 하나를 선택하세요",0,"해당 약식 이름의 회사가 여러 개 있습니다. 목록에서 하나를 선택하세요"
contact,field.company.not_found_error,,ko_KR,"No company found with that name, please select from the list (or add a new company)","해당 이름의 회사를 찾을 수 없습니다. 목록에서 선택하거나 새 회사를 추가하세요",0,"해당 이름의 회사를 찾을 수 없습니다. 목록에서 선택하거나 새 회사를 추가하세요"
contact,field.name.explanation,,ko_KR,"Enter the contact person name","담당자 이름을 입력하세요",0,"담당자 이름을 입력하세요"
contact,field.name.label,,ko_KR,"Contact person name","담당자 이름",0,"담당자 이름"
contact,field.name.unique_error,,ko_KR,"A contact with this name already exists for this company","이 회사에 동일한 이름의 담당자가 이미 존재합니다",0,"이 회사에 동일한 이름의 담당자가 이미 존재합니다"
contact,form.name,,ko_KR,"Contact person",담당자,0,담당자
contact,form.title_create,,ko_KR,"New contact person","새 담당자",0,"새 담당자"
contact,form.title_edit,,ko_KR,"Edit contact person","담당자 편집",0,"담당자 편집"
contact,list.new,,ko_KR,"New contact person","새 담당자",0,"새 담당자"
contact,list.title,,ko_KR,"Contact persons",담당자,0,담당자
contact,list.widget_description,,ko_KR,"Contact person list","담당자 목록",0,"담당자 목록"
contact,list.widget_name,,ko_KR,"Contact person list","담당자 목록",0,"담당자 목록"
contact,saved,,ko_KR,"Contact saved","담당자 저장됨",0,"담당자 저장됨"
contact,unknown,,ko_KR,"Unknown contact","알 수 없는 담당자",0,"알 수 없는 담당자"
contact,updated,,ko_KR,"Contact updated","담당자 업데이트됨",0,"담당자 업데이트됨"
