domain,key,context,locale,source_text,expected_text,human_reviewed,text
contact,col.company,,pl_PL,Company,Firma,0,Firma
contact,col.name,,pl_PL,Name,Nazwa,0,Nazwa
contact,description.back_to_list,,pl_PL,"Back to contact person list","Powrót do listy osób kontaktowych",0,"Powrót do listy osób kontaktowych"
contact,description.widget_description,,pl_PL,"Contact person datasheet","Karta osoby kontaktowej",0,"Karta osoby kontaktowej"
contact,description.widget_name,,pl_PL,"Contact person datasheet","Karta osoby kontaktowej",0,"Karta osoby kontaktowej"
contact,field.company_id.label,,pl_PL,"Connected company ID","ID powiązanej firmy",0,"ID powiązanej firmy"
contact,field.company.explanation,,pl_PL,"Enter the company name (you can also use the short name)","Wpisz nazwę firmy (możesz też użyć krótkiej nazwy)",0,"Wpisz nazwę firmy (możesz też użyć krótkiej nazwy)"
contact,field.company.label,,pl_PL,"Connected company","Powiązana firma",0,"Powiązana firma"
contact,field.company.multiple_error,,pl_PL,"Multiple companies found with that short name, please select one from the list","Znaleziono wiele firm o tej krótkiej nazwie, wybierz jedną z listy",0,"Znaleziono wiele firm o tej krótkiej nazwie, wybierz jedną z listy"
contact,field.company.not_found_error,,pl_PL,"No company found with that name, please select from the list (or add a new company)","Nie znaleziono firmy o tej nazwie, wybierz z listy (lub dodaj nową firmę)",0,"Nie znaleziono firmy o tej nazwie, wybierz z listy (lub dodaj nową firmę)"
contact,field.name.explanation,,pl_PL,"Enter the contact person name","Wpisz nazwę osoby kontaktowej",0,"Wpisz nazwę osoby kontaktowej"
contact,field.name.label,,pl_PL,"Contact person name","Nazwa osoby kontaktowej",0,"Nazwa osoby kontaktowej"
contact,field.name.unique_error,,pl_PL,"A contact with this name already exists for this company","Kontakt o tej nazwie już istnieje dla tej firmy",0,"Kontakt o tej nazwie już istnieje dla tej firmy"
contact,form.name,,pl_PL,"Contact person","Osoba kontaktowa",0,"Osoba kontaktowa"
contact,form.title_create,,pl_PL,"New contact person","Nowa osoba kontaktowa",0,"Nowa osoba kontaktowa"
contact,form.title_edit,,pl_PL,"Edit contact person","Edytuj osobę kontaktową",0,"Edytuj osobę kontaktową"
contact,list.new,,pl_PL,"New contact person","Nowa osoba kontaktowa",0,"Nowa osoba kontaktowa"
contact,list.title,,pl_PL,"Contact persons","Osoby kontaktowe",0,"Osoby kontaktowe"
contact,list.widget_description,,pl_PL,"Contact person list","Lista osób kontaktowych",0,"Lista osób kontaktowych"
contact,list.widget_name,,pl_PL,"Contact person list","Lista osób kontaktowych",0,"Lista osób kontaktowych"
contact,saved,,pl_PL,"Contact saved","Zapisano kontakt",0,"Zapisano kontakt"
contact,unknown,,pl_PL,"Unknown contact","Nieznany kontakt",0,"Nieznany kontakt"
contact,updated,,pl_PL,"Contact updated","Zaktualizowano kontakt",0,"Zaktualizowano kontakt"
