domain,key,context,locale,source_text,expected_text,human_reviewed,text
project,field.comment.label,,fr_FR,Comment,Commentaire,0,Commentaire
project,field.company.explanation,,fr_FR,"Enter the company name or short name","Saisir le nom ou le nom abrégé de l'entreprise",0,"Saisir le nom ou le nom abrégé de l'entreprise"
project,field.company.label,,fr_FR,"Related company","Entreprise associée",0,"Entreprise associée"
project,field.name.explanation,,fr_FR,"Enter the project name","Saisir le nom du projet",0,"Saisir le nom du projet"
project,field.name.label,,fr_FR,"Project name","Nom du projet",0,"Nom du projet"
project,field.state.explanation,,fr_FR,"Select the project status","Sélectionner le statut du projet",0,"Sélectionner le statut du projet"
project,field.state.label,,fr_FR,Status,Statut,0,Statut
project,form.name,,fr_FR,Project,Projet,0,Projet
project,form.title_create,,fr_FR,"New project","Nouveau projet",0,"Nouveau projet"
project,form.title_edit,,fr_FR,"Edit project","Modifier le projet",0,"Modifier le projet"
project,list.open_tickets,,fr_FR,"Open tickets","Tickets ouverts",0,"Tickets ouverts"
project,list.ticket_tags,,fr_FR,"Ticket tags","Étiquettes du ticket",0,"Étiquettes du ticket"
project,list.title,,fr_FR,Projects,Projets,0,Projets
project,list.total_tickets,,fr_FR,"Total tickets","Total des tickets",0,"Total des tickets"
project,saved,,fr_FR,"Project saved","Projet enregistré",0,"Projet enregistré"
project,state.field.name.explanation,,fr_FR,"Enter the project status name","Saisir le nom du statut du projet",0,"Saisir le nom du statut du projet"
project,state.field.name.label,,fr_FR,"Status name","Nom du statut",0,"Nom du statut"
project,state.form.name,,fr_FR,"Project status","Statut du projet",0,"Statut du projet"
project,state.form.title_create,,fr_FR,"New project status","Nouveau statut de projet",0,"Nouveau statut de projet"
project,state.form.title_edit,,fr_FR,"Edit project status","Modifier le statut du projet",0,"Modifier le statut du projet"
project,state.saved,,fr_FR,"Status saved","Statut enregistré",0,"Statut enregistré"
project,state.validation.name_max_length,,fr_FR,"Status name must not exceed 64 characters","Le nom du statut ne doit pas dépasser 64 caractères",0,"Le nom du statut ne doit pas dépasser 64 caractères"
project,updated,,fr_FR,"Project updated","Projet mis à jour",0,"Projet mis à jour"
project,validation.name_max_length,,fr_FR,"Project name must not exceed 255 characters","Le nom du projet ne doit pas dépasser 255 caractères",0,"Le nom du projet ne doit pas dépasser 255 caractères"
project,validation.state_required,,fr_FR,"Select the project status","Sélectionner le statut du projet",0,"Sélectionner le statut du projet"
