domain,key,context,locale,source_text,expected_text,human_reviewed,text
project,field.comment.label,,ja_JP,Comment,コメント,0,コメント
project,field.company.explanation,,ja_JP,"Enter the company name or short name",会社名または略称を入力,0,会社名または略称を入力
project,field.company.label,,ja_JP,"Related company",関連会社,0,関連会社
project,field.name.explanation,,ja_JP,"Enter the project name",プロジェクト名を入力,0,プロジェクト名を入力
project,field.name.label,,ja_JP,"Project name",プロジェクト名,0,プロジェクト名
project,field.state.explanation,,ja_JP,"Select the project status",プロジェクトステータスを選択,0,プロジェクトステータスを選択
project,field.state.label,,ja_JP,Status,ステータス,0,ステータス
project,form.name,,ja_JP,Project,プロジェクト,0,プロジェクト
project,form.title_create,,ja_JP,"New project",新しいプロジェクト,0,新しいプロジェクト
project,form.title_edit,,ja_JP,"Edit project",プロジェクトを編集,0,プロジェクトを編集
project,list.open_tickets,,ja_JP,"Open tickets",オープンチケット,0,オープンチケット
project,list.ticket_tags,,ja_JP,"Ticket tags",チケットタグ,0,チケットタグ
project,list.title,,ja_JP,Projects,プロジェクト,0,プロジェクト
project,list.total_tickets,,ja_JP,"Total tickets",チケット合計,0,チケット合計
project,saved,,ja_JP,"Project saved",プロジェクトを保存しました,0,プロジェクトを保存しました
project,state.field.name.explanation,,ja_JP,"Enter the project status name",プロジェクトステータス名を入力,0,プロジェクトステータス名を入力
project,state.field.name.label,,ja_JP,"Status name",ステータス名,0,ステータス名
project,state.form.name,,ja_JP,"Project status",プロジェクトステータス,0,プロジェクトステータス
project,state.form.title_create,,ja_JP,"New project status",新しいプロジェクトステータス,0,新しいプロジェクトステータス
project,state.form.title_edit,,ja_JP,"Edit project status",プロジェクトステータスを編集,0,プロジェクトステータスを編集
project,state.saved,,ja_JP,"Status saved",ステータスを保存しました,0,ステータスを保存しました
project,state.validation.name_max_length,,ja_JP,"Status name must not exceed 64 characters",ステータス名は64文字以内にしてください,0,ステータス名は64文字以内にしてください
project,updated,,ja_JP,"Project updated",プロジェクトを更新しました,0,プロジェクトを更新しました
project,validation.name_max_length,,ja_JP,"Project name must not exceed 255 characters",プロジェクト名は255文字以内にしてください,0,プロジェクト名は255文字以内にしてください
project,validation.state_required,,ja_JP,"Select the project status",プロジェクトステータスを選択,0,プロジェクトステータスを選択
