domain,key,context,locale,source_text,expected_text,human_reviewed,text
project,field.comment.label,,pl_PL,Comment,Komentarz,0,Komentarz
project,field.company.explanation,,pl_PL,"Enter the company name or short name","Wpisz nazwę firmy lub krótką nazwę",0,"Wpisz nazwę firmy lub krótką nazwę"
project,field.company.label,,pl_PL,"Related company","Powiązana firma",0,"Powiązana firma"
project,field.name.explanation,,pl_PL,"Enter the project name","Wpisz nazwę projektu",0,"Wpisz nazwę projektu"
project,field.name.label,,pl_PL,"Project name","Nazwa projektu",0,"Nazwa projektu"
project,field.state.explanation,,pl_PL,"Select the project status","Wybierz status projektu",0,"Wybierz status projektu"
project,field.state.label,,pl_PL,Status,Status,0,Status
project,form.name,,pl_PL,Project,Projekt,0,Projekt
project,form.title_create,,pl_PL,"New project","Nowy projekt",0,"Nowy projekt"
project,form.title_edit,,pl_PL,"Edit project","Edytuj projekt",0,"Edytuj projekt"
project,list.open_tickets,,pl_PL,"Open tickets","Otwarte zgłoszenia",0,"Otwarte zgłoszenia"
project,list.ticket_tags,,pl_PL,"Ticket tags","Tagi zgłoszenia",0,"Tagi zgłoszenia"
project,list.title,,pl_PL,Projects,Projekty,0,Projekty
project,list.total_tickets,,pl_PL,"Total tickets","Łącznie zgłoszeń",0,"Łącznie zgłoszeń"
project,saved,,pl_PL,"Project saved","Zapisano projekt",0,"Zapisano projekt"
project,state.field.name.explanation,,pl_PL,"Enter the project status name","Wpisz nazwę statusu projektu",0,"Wpisz nazwę statusu projektu"
project,state.field.name.label,,pl_PL,"Status name","Nazwa statusu",0,"Nazwa statusu"
project,state.form.name,,pl_PL,"Project status","Status projektu",0,"Status projektu"
project,state.form.title_create,,pl_PL,"New project status","Nowy status projektu",0,"Nowy status projektu"
project,state.form.title_edit,,pl_PL,"Edit project status","Edytuj status projektu",0,"Edytuj status projektu"
project,state.saved,,pl_PL,"Status saved","Zapisano status",0,"Zapisano status"
project,state.validation.name_max_length,,pl_PL,"Status name must not exceed 64 characters","Nazwa statusu nie może przekraczać 64 znaków",0,"Nazwa statusu nie może przekraczać 64 znaków"
project,updated,,pl_PL,"Project updated","Zaktualizowano projekt",0,"Zaktualizowano projekt"
project,validation.name_max_length,,pl_PL,"Project name must not exceed 255 characters","Nazwa projektu nie może przekraczać 255 znaków",0,"Nazwa projektu nie może przekraczać 255 znaków"
project,validation.state_required,,pl_PL,"Select the project status","Wybierz status projektu",0,"Wybierz status projektu"
