domain,key,context,locale,source_text,expected_text,human_reviewed,text
ticket,description.heading,,de_DE,"Ticket #{id}","Ticket #{id}",0,"Ticket #{id}"
ticket,description.id_label,,de_DE,"Ticket ID",Ticket-ID,0,Ticket-ID
ticket,description.no_assignee,,de_DE,"No assignee selected","Kein Bearbeiter ausgewählt",0,"Kein Bearbeiter ausgewählt"
ticket,error.no_id,,de_DE,"No ID provided","Keine ID angegeben",0,"Keine ID angegeben"
ticket,error.not_found,,de_DE,"No such ticket","Kein solches Ticket",0,"Kein solches Ticket"
ticket,field.assignee_id.label,,de_DE,"Assignee ID",Bearbeiter-ID,0,Bearbeiter-ID
ticket,field.assignee.label,,de_DE,Assignee,Bearbeiter,0,Bearbeiter
ticket,field.contactperson_id.label,,de_DE,"Contact person ID",Kontaktpersonen-ID,0,Kontaktpersonen-ID
ticket,field.contactperson.label,,de_DE,"Contact person",Kontaktperson,0,Kontaktperson
ticket,field.description.label,,de_DE,Description,Beschreibung,0,Beschreibung
ticket,field.end_date.label,,de_DE,"Closed date",Abschlussdatum,0,Abschlussdatum
ticket,field.priority.label,,de_DE,"Ticket priority",Ticket-Priorität,0,Ticket-Priorität
ticket,field.project_id.label,,de_DE,"Project ID",Projekt-ID,0,Projekt-ID
ticket,field.project.label,,de_DE,Project,Projekt,0,Projekt
ticket,field.start_date.label,,de_DE,Date,Datum,0,Datum
ticket,field.state.label,,de_DE,Status,Status,0,Status
ticket,field.subject.label,,de_DE,Subject,Subjekt,0,Subjekt
ticket,field.tags.label,,de_DE,Tags,Tags,0,Tags
ticket,field.type.label,,de_DE,"Ticket type",Ticket-Typ,0,Ticket-Typ
ticket,form.assignee_explanation,,de_DE,"Enter username of assignee","Benutzernamen des Bearbeiters eingeben",0,"Benutzernamen des Bearbeiters eingeben"
ticket,form.comment_label,,de_DE,"Comment (will be added as a note)","Kommentar (wird als Notiz hinzugefügt)",0,"Kommentar (wird als Notiz hinzugefügt)"
ticket,form.contactperson_explanation,,de_DE,"Enter contact person name","Namen der Kontaktperson eingeben",0,"Namen der Kontaktperson eingeben"
ticket,form.end_date_explanation,,de_DE,"Enter ticket closure date","Ticket-Abschlussdatum eingeben",0,"Ticket-Abschlussdatum eingeben"
ticket,form.name,,de_DE,Ticket,Ticket,0,Ticket
ticket,form.priority_explanation,,de_DE,"Select ticket priority","Ticket-Priorität auswählen",0,"Ticket-Priorität auswählen"
ticket,form.project_explanation,,de_DE,"Select project for this ticket","Projekt für dieses Ticket auswählen",0,"Projekt für dieses Ticket auswählen"
ticket,form.start_date_explanation,,de_DE,"Enter observation date","Beobachtungsdatum eingeben",0,"Beobachtungsdatum eingeben"
ticket,form.state_explanation,,de_DE,"Select ticket status","Ticket-Status auswählen",0,"Ticket-Status auswählen"
ticket,form.subject_explanation,,de_DE,"Enter a brief summary","Kurze Zusammenfassung eingeben",0,"Kurze Zusammenfassung eingeben"
ticket,form.tags_explanation,,de_DE,"Enter tags separated by commas","Tags durch Komma getrennt eingeben",0,"Tags durch Komma getrennt eingeben"
ticket,form.title_create,,de_DE,"New ticket","Neues Ticket",0,"Neues Ticket"
ticket,form.title_edit,,de_DE,"Edit ticket","Ticket bearbeiten",0,"Ticket bearbeiten"
ticket,form.type_explanation,,de_DE,"Select ticket type","Ticket-Typ auswählen",0,"Ticket-Typ auswählen"
ticket,history.change.assignee,,de_DE,"Assignee changed","Bearbeiter geändert",0,"Bearbeiter geändert"
ticket,history.change.closed_date,,de_DE,"Closed date changed","Abschlussdatum geändert",0,"Abschlussdatum geändert"
ticket,history.change.contactperson,,de_DE,"Contact person changed","Kontaktperson geändert",0,"Kontaktperson geändert"
ticket,history.change.date,,de_DE,"Date changed","Datum geändert",0,"Datum geändert"
ticket,history.change.description,,de_DE,"Description changed","Beschreibung geändert",0,"Beschreibung geändert"
ticket,history.change.priority,,de_DE,"Priority changed","Priorität geändert",0,"Priorität geändert"
ticket,history.change.project,,de_DE,"Project changed","Projekt geändert",0,"Projekt geändert"
ticket,history.change.status,,de_DE,"Status changed","Status geändert",0,"Status geändert"
ticket,history.change.subject,,de_DE,"Subject changed","Betreff geändert",0,"Betreff geändert"
ticket,history.change.type,,de_DE,"Type changed","Typ geändert",0,"Typ geändert"
ticket,history.comment_prefix,,de_DE,Comment,Kommentar,0,Kommentar
ticket,history.tags_added,,de_DE,"Tag added","Tag hinzugefügt",0,"Tag hinzugefügt"
ticket,history.tags_removed,,de_DE,"Tag removed","Tag entfernt",0,"Tag entfernt"
ticket,history.title,,de_DE,"Ticket history",Ticket-Verlauf,0,Ticket-Verlauf
ticket,no_description,,de_DE,"No description","Keine Beschreibung",0,"Keine Beschreibung"
ticket,no_subject,,de_DE,"No subject","Kein Betreff",0,"Kein Betreff"
ticket,priority.field.name.label,,de_DE,"Priority name",Prioritätsname,0,Prioritätsname
ticket,priority.field.seq.label,,de_DE,Order,Reihenfolge,0,Reihenfolge
