domain,key,context,locale,source_text,expected_text,human_reviewed,text
ticket,description.heading,,en_US,"Ticket #{id}","Ticket #{id}",0,"Ticket #{id}"
ticket,description.id_label,,en_US,"Ticket ID","Ticket ID",0,"Ticket ID"
ticket,description.no_assignee,,en_US,"No assignee selected","No assignee selected",0,"No assignee selected"
ticket,error.no_id,,en_US,"No ID provided","No ID provided",0,"No ID provided"
ticket,error.not_found,,en_US,"No such ticket","No such ticket",0,"No such ticket"
ticket,field.assignee_id.label,,en_US,"Assignee ID","Assignee ID",0,"Assignee ID"
ticket,field.assignee.label,,en_US,Assignee,Assignee,0,Assignee
ticket,field.contactperson_id.label,,en_US,"Contact person ID","Contact person ID",0,"Contact person ID"
ticket,field.contactperson.label,,en_US,"Contact person","Contact person",0,"Contact person"
ticket,field.description.label,,en_US,Description,Description,0,Description
ticket,field.end_date.label,,en_US,"Closed date","Closed date",0,"Closed date"
ticket,field.priority.label,,en_US,"Ticket priority","Ticket priority",0,"Ticket priority"
ticket,field.project_id.label,,en_US,"Project ID","Project ID",0,"Project ID"
ticket,field.project.label,,en_US,Project,Project,0,Project
ticket,field.start_date.label,,en_US,Date,Date,0,Date
ticket,field.state.label,,en_US,Status,Status,0,Status
ticket,field.subject.label,,en_US,Subject,Subject,0,Subject
ticket,field.tags.label,,en_US,Tags,Tags,0,Tags
ticket,field.type.label,,en_US,"Ticket type","Ticket type",0,"Ticket type"
ticket,form.assignee_explanation,,en_US,"Enter username of assignee","Enter username of assignee",0,"Enter username of assignee"
ticket,form.comment_label,,en_US,"Comment (will be added as a note)","Comment (will be added as a note)",0,"Comment (will be added as a note)"
ticket,form.contactperson_explanation,,en_US,"Enter contact person name","Enter contact person name",0,"Enter contact person name"
ticket,form.end_date_explanation,,en_US,"Enter ticket closure date","Enter ticket closure date",0,"Enter ticket closure date"
ticket,form.name,,en_US,Ticket,Ticket,0,Ticket
ticket,form.priority_explanation,,en_US,"Select ticket priority","Select ticket priority",0,"Select ticket priority"
ticket,form.project_explanation,,en_US,"Select project for this ticket","Select project for this ticket",0,"Select project for this ticket"
ticket,form.start_date_explanation,,en_US,"Enter observation date","Enter observation date",0,"Enter observation date"
ticket,form.state_explanation,,en_US,"Select ticket status","Select ticket status",0,"Select ticket status"
ticket,form.subject_explanation,,en_US,"Enter a brief summary","Enter a brief summary",0,"Enter a brief summary"
ticket,form.tags_explanation,,en_US,"Enter tags separated by commas","Enter tags separated by commas",0,"Enter tags separated by commas"
ticket,form.title_create,,en_US,"New ticket","New ticket",0,"New ticket"
ticket,form.title_edit,,en_US,"Edit ticket","Edit ticket",0,"Edit ticket"
ticket,form.type_explanation,,en_US,"Select ticket type","Select ticket type",0,"Select ticket type"
ticket,history.change.assignee,,en_US,"Assignee changed","Assignee changed",0,"Assignee changed"
ticket,history.change.closed_date,,en_US,"Closed date changed","Closed date changed",0,"Closed date changed"
ticket,history.change.contactperson,,en_US,"Contact person changed","Contact person changed",0,"Contact person changed"
ticket,history.change.date,,en_US,"Date changed","Date changed",0,"Date changed"
ticket,history.change.description,,en_US,"Description changed","Description changed",0,"Description changed"
ticket,history.change.priority,,en_US,"Priority changed","Priority changed",0,"Priority changed"
ticket,history.change.project,,en_US,"Project changed","Project changed",0,"Project changed"
ticket,history.change.status,,en_US,"Status changed","Status changed",0,"Status changed"
ticket,history.change.subject,,en_US,"Subject changed","Subject changed",0,"Subject changed"
ticket,history.change.type,,en_US,"Type changed","Type changed",0,"Type changed"
ticket,history.comment_prefix,,en_US,Comment,Comment,0,Comment
ticket,history.tags_added,,en_US,"Tag added","Tag added",0,"Tag added"
ticket,history.tags_removed,,en_US,"Tag removed","Tag removed",0,"Tag removed"
ticket,history.title,,en_US,"Ticket history","Ticket history",0,"Ticket history"
ticket,no_description,,en_US,"No description","No description",0,"No description"
ticket,no_subject,,en_US,"No subject","No subject",0,"No subject"
ticket,priority.field.name.label,,en_US,"Priority name","Priority name",0,"Priority name"
ticket,priority.field.seq.label,,en_US,Order,Order,0,Order
ticket,priority.form.name,,en_US,"Ticket priority","Ticket priority",0,"Ticket priority"
ticket,priority.form.name_explanation,,en_US,"Enter priority name","Enter priority name",0,"Enter priority name"
ticket,priority.form.seq_explanation,,en_US,"Determines the sort order for this priority","Determines the sort order for this priority",0,"Determines the sort order for this priority"
ticket,priority.form.title_create,,en_US,"New ticket priority","New ticket priority",0,"New ticket priority"
ticket,priority.form.title_edit,,en_US,"Edit ticket priority","Edit ticket priority",0,"Edit ticket priority"
ticket,priority.saved,,en_US,"Priority saved","Priority saved",0,"Priority saved"
ticket,priority.updated,,en_US,"Priority updated","Priority updated",0,"Priority updated"
ticket,priority.validation.duplicate,,en_US,"This priority already exists","This priority already exists",0,"This priority already exists"
ticket,priority.validation.seq_number,,en_US,"Order must be a number","Order must be a number",0,"Order must be a number"
ticket,priority.validation.seq_range,,en_US,"Order must be between 0 and 255","Order must be between 0 and 255",0,"Order must be between 0 and 255"
ticket,saved,,en_US,"Ticket saved","Ticket saved",0,"Ticket saved"
ticket,state.field.is_open.label,,en_US,"Open status","Open status",0,"Open status"
ticket,state.field.name.label,,en_US,"Status name","Status name",0,"Status name"
ticket,state.form.is_open_explanation,,en_US,"Open status tickets appear in the list when marked as open","Open status tickets appear in the list when marked as open",0,"Open status tickets appear in the list when marked as open"
ticket,state.form.name,,en_US,"Ticket status","Ticket status",0,"Ticket status"
ticket,state.form.name_explanation,,en_US,"Enter status name","Enter status name",0,"Enter status name"
ticket,state.form.title_create,,en_US,"New ticket status","New ticket status",0,"New ticket status"
ticket,state.form.title_edit,,en_US,"Edit ticket status","Edit ticket status",0,"Edit ticket status"
ticket,state.saved,,en_US,"Status saved","Status saved",0,"Status saved"
ticket,state.updated,,en_US,"Status updated","Status updated",0,"Status updated"
ticket,state.validation.duplicate,,en_US,"This status already exists","This status already exists",0,"This status already exists"
ticket,tags_updated,,en_US,"Ticket tags updated","Ticket tags updated",0,"Ticket tags updated"
ticket,type.field.name.label,,en_US,"Type name","Type name",0,"Type name"
ticket,type.form.name,,en_US,"Ticket type","Ticket type",0,"Ticket type"
ticket,type.form.name_explanation,,en_US,"Enter type name","Enter type name",0,"Enter type name"
ticket,type.form.title_create,,en_US,"New ticket type","New ticket type",0,"New ticket type"
ticket,type.form.title_edit,,en_US,"Edit ticket type","Edit ticket type",0,"Edit ticket type"
ticket,type.saved,,en_US,"Type saved","Type saved",0,"Type saved"
ticket,type.updated,,en_US,"Type updated","Type updated",0,"Type updated"
ticket,type.validation.duplicate,,en_US,"This type already exists","This type already exists",0,"This type already exists"
ticket,updated,,en_US,"Ticket updated","Ticket updated",0,"Ticket updated"
ticket,validation.assigned_user_multiple,,en_US,"Multiple users found - select one","Multiple users found - select one",0,"Multiple users found - select one"
ticket,validation.assigned_user_not_found,,en_US,"User not found - select from list or add new","User not found - select from list or add new",0,"User not found - select from list or add new"
ticket,validation.contactperson_multiple,,en_US,"Multiple contacts found - select one","Multiple contacts found - select one",0,"Multiple contacts found - select one"
ticket,validation.contactperson_not_found,,en_US,"Contact not found - select from list or add new","Contact not found - select from list or add new",0,"Contact not found - select from list or add new"
ticket,validation.project_multiple,,en_US,"Multiple projects found - select one","Multiple projects found - select one",0,"Multiple projects found - select one"
ticket,validation.project_not_found,,en_US,"Project not found","Project not found",0,"Project not found"
ticket,validation.project_required,,en_US,"Specify project for this ticket","Specify project for this ticket",0,"Specify project for this ticket"
ticket,widget.description.name,,en_US,"Ticket details","Ticket details",0,"Ticket details"
ticket,widget.list.name,,en_US,"Ticket list","Ticket list",0,"Ticket list"
ticket,widget.priority_list.name,,en_US,"Ticket priorities","Ticket priorities",0,"Ticket priorities"
ticket,widget.state_list.name,,en_US,"Ticket statuses","Ticket statuses",0,"Ticket statuses"
ticket,widget.type_list.name,,en_US,"Ticket types","Ticket types",0,"Ticket types"
