domain,key,context,locale,source_text,expected_text,human_reviewed,text
ticket,description.heading,,es_ES,"Ticket #{id}","Ticket #{id}",0,"Ticket #{id}"
ticket,description.id_label,,es_ES,"Ticket ID","ID del ticket",0,"ID del ticket"
ticket,description.no_assignee,,es_ES,"No assignee selected","No se seleccionó ningún responsable",0,"No se seleccionó ningún responsable"
ticket,error.no_id,,es_ES,"No ID provided","No se proporcionó ID",0,"No se proporcionó ID"
ticket,error.not_found,,es_ES,"No such ticket","Ticket inexistente",0,"Ticket inexistente"
ticket,field.assignee_id.label,,es_ES,"Assignee ID","ID del responsable",0,"ID del responsable"
ticket,field.assignee.label,,es_ES,Assignee,Responsable,0,Responsable
ticket,field.contactperson_id.label,,es_ES,"Contact person ID","ID de persona de contacto",0,"ID de persona de contacto"
ticket,field.contactperson.label,,es_ES,"Contact person","Persona de contacto",0,"Persona de contacto"
ticket,field.description.label,,es_ES,Description,Descripción,0,Descripción
ticket,field.end_date.label,,es_ES,"Closed date","Fecha de cierre",0,"Fecha de cierre"
ticket,field.priority.label,,es_ES,"Ticket priority","Prioridad del ticket",0,"Prioridad del ticket"
ticket,field.project_id.label,,es_ES,"Project ID","ID del proyecto",0,"ID del proyecto"
ticket,field.project.label,,es_ES,Project,Proyecto,0,Proyecto
ticket,field.start_date.label,,es_ES,Date,Fecha,0,Fecha
ticket,field.state.label,,es_ES,Status,Estado,0,Estado
ticket,field.subject.label,,es_ES,Subject,Asunto,0,Asunto
ticket,field.tags.label,,es_ES,Tags,Etiquetas,0,Etiquetas
ticket,field.type.label,,es_ES,"Ticket type","Tipo de ticket",0,"Tipo de ticket"
ticket,form.assignee_explanation,,es_ES,"Enter username of assignee","Introduzca el nombre de usuario del responsable",0,"Introduzca el nombre de usuario del responsable"
ticket,form.comment_label,,es_ES,"Comment (will be added as a note)","Comentario (se añadirá como nota)",0,"Comentario (se añadirá como nota)"
ticket,form.contactperson_explanation,,es_ES,"Enter contact person name","Introduzca el nombre de la persona de contacto",0,"Introduzca el nombre de la persona de contacto"
ticket,form.end_date_explanation,,es_ES,"Enter ticket closure date","Introduzca la fecha de cierre del ticket",0,"Introduzca la fecha de cierre del ticket"
ticket,form.name,,es_ES,Ticket,Ticket,0,Ticket
ticket,form.priority_explanation,,es_ES,"Select ticket priority","Seleccionar prioridad del ticket",0,"Seleccionar prioridad del ticket"
ticket,form.project_explanation,,es_ES,"Select project for this ticket","Seleccionar proyecto para este ticket",0,"Seleccionar proyecto para este ticket"
ticket,form.start_date_explanation,,es_ES,"Enter observation date","Introduzca la fecha de observación",0,"Introduzca la fecha de observación"
ticket,form.state_explanation,,es_ES,"Select ticket status","Seleccionar estado del ticket",0,"Seleccionar estado del ticket"
ticket,form.subject_explanation,,es_ES,"Enter a brief summary","Introduzca un breve resumen",0,"Introduzca un breve resumen"
ticket,form.tags_explanation,,es_ES,"Enter tags separated by commas","Introduzca etiquetas separadas por comas",0,"Introduzca etiquetas separadas por comas"
