domain,key,context,locale,source_text,expected_text,human_reviewed,text
ticket,description.heading,,fr_FR,"Ticket #{id}","Ticket #{id}",0,"Ticket #{id}"
ticket,description.id_label,,fr_FR,"Ticket ID","ID du ticket",0,"ID du ticket"
ticket,description.no_assignee,,fr_FR,"No assignee selected","Aucun responsable sélectionné",0,"Aucun responsable sélectionné"
ticket,error.no_id,,fr_FR,"No ID provided","Aucun ID fourni",0,"Aucun ID fourni"
ticket,error.not_found,,fr_FR,"No such ticket","Ticket inexistant",0,"Ticket inexistant"
ticket,field.assignee_id.label,,fr_FR,"Assignee ID","ID du responsable",0,"ID du responsable"
ticket,field.assignee.label,,fr_FR,Assignee,Responsable,0,Responsable
ticket,field.contactperson_id.label,,fr_FR,"Contact person ID","ID de la personne de contact",0,"ID de la personne de contact"
ticket,field.contactperson.label,,fr_FR,"Contact person","Personne de contact",0,"Personne de contact"
ticket,field.description.label,,fr_FR,Description,Description,0,Description
ticket,field.end_date.label,,fr_FR,"Closed date","Date de clôture",0,"Date de clôture"
ticket,field.priority.label,,fr_FR,"Ticket priority","Priorité du ticket",0,"Priorité du ticket"
ticket,field.project_id.label,,fr_FR,"Project ID","ID du projet",0,"ID du projet"
ticket,field.project.label,,fr_FR,Project,Projet,0,Projet
ticket,field.start_date.label,,fr_FR,Date,Date,0,Date
ticket,field.state.label,,fr_FR,Status,Statut,0,Statut
ticket,field.subject.label,,fr_FR,Subject,Sujet,0,Sujet
ticket,field.tags.label,,fr_FR,Tags,Étiquettes,0,Étiquettes
ticket,field.type.label,,fr_FR,"Ticket type","Type de ticket",0,"Type de ticket"
ticket,form.assignee_explanation,,fr_FR,"Enter username of assignee","Saisir le nom d'utilisateur du responsable",0,"Saisir le nom d'utilisateur du responsable"
ticket,form.comment_label,,fr_FR,"Comment (will be added as a note)","Commentaire (sera ajouté comme note)",0,"Commentaire (sera ajouté comme note)"
ticket,form.contactperson_explanation,,fr_FR,"Enter contact person name","Saisir le nom de la personne de contact",0,"Saisir le nom de la personne de contact"
ticket,form.end_date_explanation,,fr_FR,"Enter ticket closure date","Saisir la date de clôture du ticket",0,"Saisir la date de clôture du ticket"
ticket,form.name,,fr_FR,Ticket,Ticket,0,Ticket
ticket,form.priority_explanation,,fr_FR,"Select ticket priority","Sélectionner la priorité du ticket",0,"Sélectionner la priorité du ticket"
ticket,form.project_explanation,,fr_FR,"Select project for this ticket","Sélectionner le projet pour ce ticket",0,"Sélectionner le projet pour ce ticket"
ticket,form.start_date_explanation,,fr_FR,"Enter observation date","Saisir la date d'observation",0,"Saisir la date d'observation"
ticket,form.state_explanation,,fr_FR,"Select ticket status","Sélectionner le statut du ticket",0,"Sélectionner le statut du ticket"
ticket,form.subject_explanation,,fr_FR,"Enter a brief summary","Saisir un bref résumé",0,"Saisir un bref résumé"
ticket,form.tags_explanation,,fr_FR,"Enter tags separated by commas","Saisir les étiquettes séparées par des virgules",0,"Saisir les étiquettes séparées par des virgules"
ticket,form.title_create,,fr_FR,"New ticket","Nouveau ticket",0,"Nouveau ticket"
ticket,form.title_edit,,fr_FR,"Edit ticket","Modifier le ticket",0,"Modifier le ticket"
ticket,form.type_explanation,,fr_FR,"Select ticket type","Sélectionner le type de ticket",0,"Sélectionner le type de ticket"
