domain,key,context,locale,source_text,expected_text,human_reviewed,text
ticket,description.heading,,hu_HU,"Ticket #{id}","Jegy #{id}",0,"Jegy #{id}"
ticket,description.id_label,,hu_HU,"Ticket ID","Jegy azonosító",0,"Jegy azonosító"
ticket,description.no_assignee,,hu_HU,"No assignee selected","Nincs kijelölve",0,"Nincs kijelölve"
ticket,error.no_id,,hu_HU,"No ID provided","Nincs megadva azonosító",0,"Nincs megadva azonosító"
ticket,error.not_found,,hu_HU,"No such ticket","Nincs ilyen jegy",0,"Nincs ilyen jegy"
ticket,field.assignee_id.label,,hu_HU,"Assignee ID","Felelős ID",0,"Felelős ID"
ticket,field.assignee.label,,hu_HU,Assignee,Felelős,0,Felelős
ticket,field.contactperson_id.label,,hu_HU,"Contact person ID","Kapcsolattartó ID",0,"Kapcsolattartó ID"
ticket,field.contactperson.label,,hu_HU,"Contact person",Kapcsolattartó,0,Kapcsolattartó
ticket,field.description.label,,hu_HU,Description,"Jegy részletes leírása",0,"Jegy részletes leírása"
ticket,field.end_date.label,,hu_HU,"Closed date","Jegy lezárása",0,"Jegy lezárása"
ticket,field.priority.label,,hu_HU,"Ticket priority","Jegy prioritása",0,"Jegy prioritása"
ticket,field.project_id.label,,hu_HU,"Project ID","Projekt ID",0,"Projekt ID"
ticket,field.project.label,,hu_HU,Project,Projekt,0,Projekt
ticket,field.start_date.label,,hu_HU,Date,Dátum,0,Dátum
ticket,field.state.label,,hu_HU,Status,"Jegy állapot",0,"Jegy állapot"
ticket,field.subject.label,,hu_HU,Subject,Cím,0,Cím
ticket,field.tags.label,,hu_HU,Tags,Címkék,0,Címkék
ticket,field.type.label,,hu_HU,"Ticket type","Jegy típusa",0,"Jegy típusa"
ticket,form.assignee_explanation,,hu_HU,"Enter username of assignee","Írd be a felelős személy felhasználónevét",0,"Írd be a felelős személy felhasználónevét"
ticket,form.comment_label,,hu_HU,"Comment (will be added as a note)","Megjegyzés a módosításhoz (kommentként jelenik meg)",0,"Megjegyzés a módosításhoz (kommentként jelenik meg)"
ticket,form.contactperson_explanation,,hu_HU,"Enter contact person name","Írd be a kapcsolattartó nevét",0,"Írd be a kapcsolattartó nevét"
ticket,form.end_date_explanation,,hu_HU,"Enter ticket closure date","Írd be a jegy megszűnésének dátumát",0,"Írd be a jegy megszűnésének dátumát"
ticket,form.name,,hu_HU,Ticket,Jegy,0,Jegy
ticket,form.priority_explanation,,hu_HU,"Select ticket priority","Válaszd ki a jegy prioritását",0,"Válaszd ki a jegy prioritását"
ticket,form.project_explanation,,hu_HU,"Select project for this ticket","Válaszd ki a projektet, amihez a jegyet rendeled",0,"Válaszd ki a projektet, amihez a jegyet rendeled"
ticket,form.start_date_explanation,,hu_HU,"Enter observation date","Írd be az észrevétel dátumát",0,"Írd be az észrevétel dátumát"
ticket,form.state_explanation,,hu_HU,"Select ticket status","Válaszd ki a jegy állapotát",0,"Válaszd ki a jegy állapotát"
ticket,form.subject_explanation,,hu_HU,"Enter a brief summary","Írj be egy rövid, összefoglaló címet",0,"Írj be egy rövid, összefoglaló címet"
ticket,form.tags_explanation,,hu_HU,"Enter tags separated by commas","Írd be a címkéket, vesszővel elválasztva",0,"Írd be a címkéket, vesszővel elválasztva"
ticket,form.title_create,,hu_HU,"New ticket","Új jegy",0,"Új jegy"
ticket,form.title_edit,,hu_HU,"Edit ticket","Jegy adatainak módosítása",0,"Jegy adatainak módosítása"
ticket,form.type_explanation,,hu_HU,"Select ticket type","Válaszd ki a jegy típusát",0,"Válaszd ki a jegy típusát"
ticket,history.change.assignee,,hu_HU,"Assignee changed","Felelős változott",0,"Felelős változott"
ticket,history.change.closed_date,,hu_HU,"Closed date changed","Lezárva változott",0,"Lezárva változott"
ticket,history.change.contactperson,,hu_HU,"Contact person changed","Kapcsolattartó változott",0,"Kapcsolattartó változott"
ticket,history.change.date,,hu_HU,"Date changed","Dátum változott",0,"Dátum változott"
ticket,history.change.description,,hu_HU,"Description changed","Leírás változott",0,"Leírás változott"
ticket,history.change.priority,,hu_HU,"Priority changed","Prioritás változott",0,"Prioritás változott"
ticket,history.change.project,,hu_HU,"Project changed","Projekt változott",0,"Projekt változott"
ticket,history.change.status,,hu_HU,"Status changed","Állapot változott",0,"Állapot változott"
ticket,history.change.subject,,hu_HU,"Subject changed","Cím változott",0,"Cím változott"
ticket,history.change.type,,hu_HU,"Type changed","Típus változott",0,"Típus változott"
ticket,history.comment_prefix,,hu_HU,Comment,Komment,0,Komment
ticket,history.tags_added,,hu_HU,"Tag added","Címke hozzáadva",0,"Címke hozzáadva"
ticket,history.tags_removed,,hu_HU,"Tag removed","Címke törölve",0,"Címke törölve"
ticket,history.title,,hu_HU,"Ticket history","Jegy történet",0,"Jegy történet"
ticket,no_description,,hu_HU,"No description","Nincs leírás",0,"Nincs leírás"
ticket,no_subject,,hu_HU,"No subject","Nincs cím",0,"Nincs cím"
ticket,priority.field.name.label,,hu_HU,"Priority name","Prioritás megnevezés",0,"Prioritás megnevezés"
ticket,priority.field.seq.label,,hu_HU,Order,Sorrend,0,Sorrend
ticket,priority.form.name,,hu_HU,"Ticket priority","Jegy prioritás",0,"Jegy prioritás"
ticket,priority.form.name_explanation,,hu_HU,"Enter priority name","Írd be a jegy prioritás megnevezését",0,"Írd be a jegy prioritás megnevezését"
ticket,priority.form.seq_explanation,,hu_HU,"Determines the sort order for this priority","Ez a szám határozza meg a prioritás sorrendjét",0,"Ez a szám határozza meg a prioritás sorrendjét"
ticket,priority.form.title_create,,hu_HU,"New ticket priority","Új jegy prioritás adatai",0,"Új jegy prioritás adatai"
ticket,priority.form.title_edit,,hu_HU,"Edit ticket priority","Jegy prioritás adatainak módosítása",0,"Jegy prioritás adatainak módosítása"
ticket,priority.saved,,hu_HU,"Priority saved","Jegy prioritás rögzítve",0,"Jegy prioritás rögzítve"
ticket,priority.updated,,hu_HU,"Priority updated","Jegy prioritás módosítva",0,"Jegy prioritás módosítva"
ticket,priority.validation.duplicate,,hu_HU,"This priority already exists","Ez a jegy prioritás már szerepel az adatbázisban",0,"Ez a jegy prioritás már szerepel az adatbázisban"
ticket,priority.validation.seq_number,,hu_HU,"Order must be a number","A sorrend értékénél csak szám szerepelhet",0,"A sorrend értékénél csak szám szerepelhet"
ticket,priority.validation.seq_range,,hu_HU,"Order must be between 0 and 255","A sorrend értéke 0 és 255 között lehet",0,"A sorrend értéke 0 és 255 között lehet"
ticket,saved,,hu_HU,"Ticket saved","Jegy rögzítve",0,"Jegy rögzítve"
