domain,key,context,locale,source_text,expected_text,human_reviewed,text
ticket,description.heading,,it_IT,"Ticket #{id}","Ticket #{id}",0,"Ticket #{id}"
ticket,description.id_label,,it_IT,"Ticket ID","ID ticket",0,"ID ticket"
ticket,description.no_assignee,,it_IT,"No assignee selected","Nessun responsabile selezionato",0,"Nessun responsabile selezionato"
ticket,error.no_id,,it_IT,"No ID provided","Nessun ID fornito",0,"Nessun ID fornito"
ticket,error.not_found,,it_IT,"No such ticket","Ticket inesistente",0,"Ticket inesistente"
ticket,field.assignee_id.label,,it_IT,"Assignee ID","ID responsabile",0,"ID responsabile"
ticket,field.assignee.label,,it_IT,Assignee,Responsabile,0,Responsabile
ticket,field.contactperson_id.label,,it_IT,"Contact person ID","ID persona di contatto",0,"ID persona di contatto"
ticket,field.contactperson.label,,it_IT,"Contact person","Persona di contatto",0,"Persona di contatto"
ticket,field.description.label,,it_IT,Description,Descrizione,0,Descrizione
ticket,field.end_date.label,,it_IT,"Closed date","Data chiusura",0,"Data chiusura"
ticket,field.priority.label,,it_IT,"Ticket priority","Priorità ticket",0,"Priorità ticket"
ticket,field.project_id.label,,it_IT,"Project ID","ID progetto",0,"ID progetto"
ticket,field.project.label,,it_IT,Project,Progetto,0,Progetto
ticket,field.start_date.label,,it_IT,Date,Data,0,Data
ticket,field.state.label,,it_IT,Status,Stato,0,Stato
ticket,field.subject.label,,it_IT,Subject,Oggetto,0,Oggetto
ticket,field.tags.label,,it_IT,Tags,Etichette,0,Etichette
ticket,field.type.label,,it_IT,"Ticket type","Tipo ticket",0,"Tipo ticket"
ticket,form.assignee_explanation,,it_IT,"Enter username of assignee","Inserisci il nome utente del responsabile",0,"Inserisci il nome utente del responsabile"
ticket,form.comment_label,,it_IT,"Comment (will be added as a note)","Commento (verrà aggiunto come nota)",0,"Commento (verrà aggiunto come nota)"
ticket,form.contactperson_explanation,,it_IT,"Enter contact person name","Inserisci nome persona di contatto",0,"Inserisci nome persona di contatto"
ticket,form.end_date_explanation,,it_IT,"Enter ticket closure date","Inserisci la data di chiusura del ticket",0,"Inserisci la data di chiusura del ticket"
ticket,form.name,,it_IT,Ticket,Ticket,0,Ticket
ticket,form.priority_explanation,,it_IT,"Select ticket priority","Seleziona priorità ticket",0,"Seleziona priorità ticket"
ticket,form.project_explanation,,it_IT,"Select project for this ticket","Seleziona progetto per questo ticket",0,"Seleziona progetto per questo ticket"
ticket,form.start_date_explanation,,it_IT,"Enter observation date","Inserisci data osservazione",0,"Inserisci data osservazione"
ticket,form.state_explanation,,it_IT,"Select ticket status","Seleziona stato ticket",0,"Seleziona stato ticket"
ticket,form.subject_explanation,,it_IT,"Enter a brief summary","Inserisci un breve riepilogo",0,"Inserisci un breve riepilogo"
ticket,form.tags_explanation,,it_IT,"Enter tags separated by commas","Inserisci etichette separate da virgole",0,"Inserisci etichette separate da virgole"
ticket,form.title_create,,it_IT,"New ticket","Nuovo ticket",0,"Nuovo ticket"
ticket,form.title_edit,,it_IT,"Edit ticket","Modifica ticket",0,"Modifica ticket"
ticket,form.type_explanation,,it_IT,"Select ticket type","Seleziona tipo ticket",0,"Seleziona tipo ticket"
ticket,history.change.assignee,,it_IT,"Assignee changed","Responsabile modificato",0,"Responsabile modificato"
ticket,history.change.closed_date,,it_IT,"Closed date changed","Data chiusura modificata",0,"Data chiusura modificata"
ticket,history.change.contactperson,,it_IT,"Contact person changed","Persona di contatto modificata",0,"Persona di contatto modificata"
ticket,history.change.date,,it_IT,"Date changed","Data modificata",0,"Data modificata"
ticket,history.change.description,,it_IT,"Description changed","Descrizione modificata",0,"Descrizione modificata"
ticket,history.change.priority,,it_IT,"Priority changed","Priorità modificata",0,"Priorità modificata"
ticket,history.change.project,,it_IT,"Project changed","Progetto modificato",0,"Progetto modificato"
ticket,history.change.status,,it_IT,"Status changed","Stato modificato",0,"Stato modificato"
ticket,history.change.subject,,it_IT,"Subject changed","Oggetto modificato",0,"Oggetto modificato"
ticket,history.change.type,,it_IT,"Type changed","Tipo modificato",0,"Tipo modificato"
ticket,history.comment_prefix,,it_IT,Comment,Commento,0,Commento
ticket,history.tags_added,,it_IT,"Tag added","Etichetta aggiunta",0,"Etichetta aggiunta"
ticket,history.tags_removed,,it_IT,"Tag removed","Etichetta rimossa",0,"Etichetta rimossa"
ticket,history.title,,it_IT,"Ticket history","Cronologia ticket",0,"Cronologia ticket"
ticket,no_description,,it_IT,"No description","Nessuna descrizione",0,"Nessuna descrizione"
ticket,no_subject,,it_IT,"No subject","Nessun oggetto",0,"Nessun oggetto"
ticket,priority.field.name.label,,it_IT,"Priority name","Nome priorità",0,"Nome priorità"
ticket,priority.field.seq.label,,it_IT,Order,Ordine,0,Ordine
ticket,priority.form.name,,it_IT,"Ticket priority","Priorità ticket",0,"Priorità ticket"
ticket,priority.form.name_explanation,,it_IT,"Enter priority name","Inserisci nome priorità",0,"Inserisci nome priorità"
ticket,priority.form.seq_explanation,,it_IT,"Determines the sort order for this priority","Determina l'ordine di ordinamento per questa priorità",0,"Determina l'ordine di ordinamento per questa priorità"
ticket,priority.form.title_create,,it_IT,"New ticket priority","Nuova priorità ticket",0,"Nuova priorità ticket"
ticket,priority.form.title_edit,,it_IT,"Edit ticket priority","Modifica priorità ticket",0,"Modifica priorità ticket"
ticket,priority.saved,,it_IT,"Priority saved","Priorità salvata",0,"Priorità salvata"
ticket,priority.updated,,it_IT,"Priority updated","Priorità aggiornata",0,"Priorità aggiornata"
ticket,priority.validation.duplicate,,it_IT,"This priority already exists","Questa priorità esiste già",0,"Questa priorità esiste già"
ticket,priority.validation.seq_number,,it_IT,"Order must be a number","L'ordine deve essere un numero",0,"L'ordine deve essere un numero"
ticket,priority.validation.seq_range,,it_IT,"Order must be between 0 and 255","L'ordine deve essere tra 0 e 255",0,"L'ordine deve essere tra 0 e 255"
ticket,saved,,it_IT,"Ticket saved","Ticket salvato",0,"Ticket salvato"
ticket,state.field.is_open.label,,it_IT,"Open status","Stato aperto",0,"Stato aperto"
ticket,state.field.name.label,,it_IT,"Status name","Nome stato",0,"Nome stato"
ticket,state.form.is_open_explanation,,it_IT,"Open status tickets appear in the list when marked as open","I ticket con stato aperto appaiono nell'elenco quando contrassegnati come aperti",0,"I ticket con stato aperto appaiono nell'elenco quando contrassegnati come aperti"
ticket,state.form.name,,it_IT,"Ticket status","Stato ticket",0,"Stato ticket"
ticket,state.form.name_explanation,,it_IT,"Enter status name","Inserisci nome stato",0,"Inserisci nome stato"
ticket,state.form.title_create,,it_IT,"New ticket status","Nuovo stato ticket",0,"Nuovo stato ticket"
ticket,state.form.title_edit,,it_IT,"Edit ticket status","Modifica stato ticket",0,"Modifica stato ticket"
ticket,state.saved,,it_IT,"Status saved","Stato salvato",0,"Stato salvato"
ticket,state.updated,,it_IT,"Status updated","Stato aggiornato",0,"Stato aggiornato"
ticket,state.validation.duplicate,,it_IT,"This status already exists","Questo stato esiste già",0,"Questo stato esiste già"
ticket,tags_updated,,it_IT,"Ticket tags updated","Etichette ticket aggiornate",0,"Etichette ticket aggiornate"
ticket,type.field.name.label,,it_IT,"Type name","Nome tipo",0,"Nome tipo"
ticket,type.form.name,,it_IT,"Ticket type","Tipo ticket",0,"Tipo ticket"
ticket,type.form.name_explanation,,it_IT,"Enter type name","Inserisci nome tipo",0,"Inserisci nome tipo"
ticket,type.form.title_create,,it_IT,"New ticket type","Nuovo tipo ticket",0,"Nuovo tipo ticket"
ticket,type.form.title_edit,,it_IT,"Edit ticket type","Modifica tipo ticket",0,"Modifica tipo ticket"
ticket,type.saved,,it_IT,"Type saved","Tipo salvato",0,"Tipo salvato"
ticket,type.updated,,it_IT,"Type updated","Tipo aggiornato",0,"Tipo aggiornato"
ticket,type.validation.duplicate,,it_IT,"This type already exists","Questo tipo esiste già",0,"Questo tipo esiste già"
ticket,updated,,it_IT,"Ticket updated","Ticket aggiornato",0,"Ticket aggiornato"
ticket,validation.assigned_user_multiple,,it_IT,"Multiple users found - select one","Trovati più utenti - selezionane uno",0,"Trovati più utenti - selezionane uno"
ticket,validation.assigned_user_not_found,,it_IT,"User not found - select from list or add new","Utente non trovato - seleziona dall'elenco o aggiungi nuovo",0,"Utente non trovato - seleziona dall'elenco o aggiungi nuovo"
ticket,validation.contactperson_multiple,,it_IT,"Multiple contacts found - select one","Trovati più contatti - selezionane uno",0,"Trovati più contatti - selezionane uno"
ticket,validation.contactperson_not_found,,it_IT,"Contact not found - select from list or add new","Contatto non trovato - seleziona dall'elenco o aggiungi nuovo",0,"Contatto non trovato - seleziona dall'elenco o aggiungi nuovo"
ticket,validation.project_multiple,,it_IT,"Multiple projects found - select one","Trovati più progetti - selezionane uno",0,"Trovati più progetti - selezionane uno"
ticket,validation.project_not_found,,it_IT,"Project not found","Progetto non trovato",0,"Progetto non trovato"
ticket,validation.project_required,,it_IT,"Specify project for this ticket","Specifica progetto per questo ticket",0,"Specifica progetto per questo ticket"
ticket,widget.description.name,,it_IT,"Ticket details","Dettagli ticket",0,"Dettagli ticket"
ticket,widget.list.name,,it_IT,"Ticket list","Elenco ticket",0,"Elenco ticket"
ticket,widget.priority_list.name,,it_IT,"Ticket priorities","Priorità ticket",0,"Priorità ticket"
ticket,widget.state_list.name,,it_IT,"Ticket statuses","Stati ticket",0,"Stati ticket"
