domain,key,context,locale,source_text,expected_text,human_reviewed,text
ticket,description.heading,,pl_PL,"Ticket #{id}","Zgłoszenie #{id}",0,"Zgłoszenie #{id}"
ticket,description.id_label,,pl_PL,"Ticket ID","ID zgłoszenia",0,"ID zgłoszenia"
ticket,description.no_assignee,,pl_PL,"No assignee selected","Nie wybrano przypisanego",0,"Nie wybrano przypisanego"
ticket,error.no_id,,pl_PL,"No ID provided","Nie podano ID",0,"Nie podano ID"
ticket,error.not_found,,pl_PL,"No such ticket","Brak takiego zgłoszenia",0,"Brak takiego zgłoszenia"
ticket,field.assignee_id.label,,pl_PL,"Assignee ID","ID przypisanego",0,"ID przypisanego"
ticket,field.assignee.label,,pl_PL,Assignee,Przypisany,0,Przypisany
ticket,field.contactperson_id.label,,pl_PL,"Contact person ID","ID osoby kontaktowej",0,"ID osoby kontaktowej"
ticket,field.contactperson.label,,pl_PL,"Contact person","Osoba kontaktowa",0,"Osoba kontaktowa"
ticket,field.description.label,,pl_PL,Description,Opis,0,Opis
ticket,field.end_date.label,,pl_PL,"Closed date","Data zamknięcia",0,"Data zamknięcia"
ticket,field.priority.label,,pl_PL,"Ticket priority","Priorytet zgłoszenia",0,"Priorytet zgłoszenia"
ticket,field.project_id.label,,pl_PL,"Project ID","ID projektu",0,"ID projektu"
ticket,field.project.label,,pl_PL,Project,Projekt,0,Projekt
ticket,field.start_date.label,,pl_PL,Date,Data,0,Data
ticket,field.state.label,,pl_PL,Status,Status,0,Status
ticket,field.subject.label,,pl_PL,Subject,Temat,0,Temat
ticket,field.tags.label,,pl_PL,Tags,Tagi,0,Tagi
ticket,field.type.label,,pl_PL,"Ticket type","Typ zgłoszenia",0,"Typ zgłoszenia"
ticket,form.assignee_explanation,,pl_PL,"Enter username of assignee","Wpisz nazwę użytkownika przypisanego",0,"Wpisz nazwę użytkownika przypisanego"
ticket,form.comment_label,,pl_PL,"Comment (will be added as a note)","Komentarz (zostanie dodany jako notatka)",0,"Komentarz (zostanie dodany jako notatka)"
ticket,form.contactperson_explanation,,pl_PL,"Enter contact person name","Wpisz nazwę osoby kontaktowej",0,"Wpisz nazwę osoby kontaktowej"
ticket,form.end_date_explanation,,pl_PL,"Enter ticket closure date","Wpisz datę zamknięcia zgłoszenia",0,"Wpisz datę zamknięcia zgłoszenia"
ticket,form.name,,pl_PL,Ticket,Zgłoszenie,0,Zgłoszenie
ticket,form.priority_explanation,,pl_PL,"Select ticket priority","Wybierz priorytet zgłoszenia",0,"Wybierz priorytet zgłoszenia"
ticket,form.project_explanation,,pl_PL,"Select project for this ticket","Wybierz projekt dla tego zgłoszenia",0,"Wybierz projekt dla tego zgłoszenia"
ticket,form.start_date_explanation,,pl_PL,"Enter observation date","Wpisz datę obserwacji",0,"Wpisz datę obserwacji"
ticket,form.state_explanation,,pl_PL,"Select ticket status","Wybierz status zgłoszenia",0,"Wybierz status zgłoszenia"
ticket,form.subject_explanation,,pl_PL,"Enter a brief summary","Wpisz krótkie podsumowanie",0,"Wpisz krótkie podsumowanie"
ticket,form.tags_explanation,,pl_PL,"Enter tags separated by commas","Wpisz tagi oddzielone przecinkami",0,"Wpisz tagi oddzielone przecinkami"
ticket,form.title_create,,pl_PL,"New ticket","Nowe zgłoszenie",0,"Nowe zgłoszenie"
ticket,form.title_edit,,pl_PL,"Edit ticket","Edytuj zgłoszenie",0,"Edytuj zgłoszenie"
ticket,form.type_explanation,,pl_PL,"Select ticket type","Wybierz typ zgłoszenia",0,"Wybierz typ zgłoszenia"
ticket,history.change.assignee,,pl_PL,"Assignee changed","Zmieniono przypisanego",0,"Zmieniono przypisanego"
ticket,history.change.closed_date,,pl_PL,"Closed date changed","Zmieniono datę zamknięcia",0,"Zmieniono datę zamknięcia"
ticket,history.change.contactperson,,pl_PL,"Contact person changed","Zmieniono osobę kontaktową",0,"Zmieniono osobę kontaktową"
ticket,history.change.date,,pl_PL,"Date changed","Zmieniono datę",0,"Zmieniono datę"
ticket,history.change.description,,pl_PL,"Description changed","Zmieniono opis",0,"Zmieniono opis"
ticket,history.change.priority,,pl_PL,"Priority changed","Zmieniono priorytet",0,"Zmieniono priorytet"
ticket,history.change.project,,pl_PL,"Project changed","Zmieniono projekt",0,"Zmieniono projekt"
ticket,history.change.status,,pl_PL,"Status changed","Zmieniono status",0,"Zmieniono status"
ticket,history.change.subject,,pl_PL,"Subject changed","Zmieniono temat",0,"Zmieniono temat"
ticket,history.change.type,,pl_PL,"Type changed","Zmieniono typ",0,"Zmieniono typ"
ticket,history.comment_prefix,,pl_PL,Comment,Komentarz,0,Komentarz
ticket,history.tags_added,,pl_PL,"Tag added","Dodano tag",0,"Dodano tag"
ticket,history.tags_removed,,pl_PL,"Tag removed","Usunięto tag",0,"Usunięto tag"
ticket,history.title,,pl_PL,"Ticket history","Historia zgłoszenia",0,"Historia zgłoszenia"
ticket,no_description,,pl_PL,"No description","Brak opisu",0,"Brak opisu"
ticket,no_subject,,pl_PL,"No subject","Brak podmiotu",0,"Brak podmiotu"
