domain,key,context,locale,source_text,expected_text,human_reviewed,text
ticket,description.heading,,pt_BR,"Ticket #{id}","Ticket #{id}",0,"Ticket #{id}"
ticket,description.id_label,,pt_BR,"Ticket ID","ID do ticket",0,"ID do ticket"
ticket,description.no_assignee,,pt_BR,"No assignee selected","Nenhum responsável selecionado",0,"Nenhum responsável selecionado"
ticket,error.no_id,,pt_BR,"No ID provided","Nenhum ID fornecido",0,"Nenhum ID fornecido"
ticket,error.not_found,,pt_BR,"No such ticket","Ticket inexistente",0,"Ticket inexistente"
ticket,field.assignee_id.label,,pt_BR,"Assignee ID","ID do responsável",0,"ID do responsável"
ticket,field.assignee.label,,pt_BR,Assignee,Responsável,0,Responsável
ticket,field.contactperson_id.label,,pt_BR,"Contact person ID","ID da pessoa de contato",0,"ID da pessoa de contato"
ticket,field.contactperson.label,,pt_BR,"Contact person","Pessoa de contato",0,"Pessoa de contato"
ticket,field.description.label,,pt_BR,Description,Descrição,0,Descrição
ticket,field.end_date.label,,pt_BR,"Closed date","Data de encerramento",0,"Data de encerramento"
ticket,field.priority.label,,pt_BR,"Ticket priority","Prioridade do ticket",0,"Prioridade do ticket"
ticket,field.project_id.label,,pt_BR,"Project ID","ID do projeto",0,"ID do projeto"
ticket,field.project.label,,pt_BR,Project,Projeto,0,Projeto
ticket,field.start_date.label,,pt_BR,Date,Data,0,Data
ticket,field.state.label,,pt_BR,Status,Status,0,Status
ticket,field.subject.label,,pt_BR,Subject,Assunto,0,Assunto
ticket,field.tags.label,,pt_BR,Tags,Etiquetas,0,Etiquetas
ticket,field.type.label,,pt_BR,"Ticket type","Tipo de ticket",0,"Tipo de ticket"
ticket,form.assignee_explanation,,pt_BR,"Enter username of assignee","Insira o nome de usuário do responsável",0,"Insira o nome de usuário do responsável"
ticket,form.comment_label,,pt_BR,"Comment (will be added as a note)","Comentário (será adicionado como nota)",0,"Comentário (será adicionado como nota)"
ticket,form.contactperson_explanation,,pt_BR,"Enter contact person name","Insira o nome da pessoa de contato",0,"Insira o nome da pessoa de contato"
ticket,form.end_date_explanation,,pt_BR,"Enter ticket closure date","Insira a data de encerramento do ticket",0,"Insira a data de encerramento do ticket"
ticket,form.name,,pt_BR,Ticket,Ticket,0,Ticket
ticket,form.priority_explanation,,pt_BR,"Select ticket priority","Selecionar prioridade do ticket",0,"Selecionar prioridade do ticket"
ticket,form.project_explanation,,pt_BR,"Select project for this ticket","Selecionar projeto para este ticket",0,"Selecionar projeto para este ticket"
ticket,form.start_date_explanation,,pt_BR,"Enter observation date","Insira a data de observação",0,"Insira a data de observação"
ticket,form.state_explanation,,pt_BR,"Select ticket status","Selecionar status do ticket",0,"Selecionar status do ticket"
ticket,form.subject_explanation,,pt_BR,"Enter a brief summary","Insira um breve resumo",0,"Insira um breve resumo"
ticket,form.tags_explanation,,pt_BR,"Enter tags separated by commas","Insira etiquetas separadas por vírgulas",0,"Insira etiquetas separadas por vírgulas"
ticket,form.title_create,,pt_BR,"New ticket","Novo ticket",0,"Novo ticket"
ticket,form.title_edit,,pt_BR,"Edit ticket","Editar ticket",0,"Editar ticket"
ticket,form.type_explanation,,pt_BR,"Select ticket type","Selecionar tipo de ticket",0,"Selecionar tipo de ticket"
ticket,history.change.assignee,,pt_BR,"Assignee changed","Responsável alterado",0,"Responsável alterado"
ticket,history.change.closed_date,,pt_BR,"Closed date changed","Data de encerramento alterada",0,"Data de encerramento alterada"
ticket,history.change.contactperson,,pt_BR,"Contact person changed","Pessoa de contato alterada",0,"Pessoa de contato alterada"
ticket,history.change.date,,pt_BR,"Date changed","Data alterada",0,"Data alterada"
ticket,history.change.description,,pt_BR,"Description changed","Descrição alterada",0,"Descrição alterada"
ticket,history.change.priority,,pt_BR,"Priority changed","Prioridade alterada",0,"Prioridade alterada"
ticket,history.change.project,,pt_BR,"Project changed","Projeto alterado",0,"Projeto alterado"
ticket,history.change.status,,pt_BR,"Status changed","Status alterado",0,"Status alterado"
ticket,history.change.subject,,pt_BR,"Subject changed","Assunto alterado",0,"Assunto alterado"
ticket,history.change.type,,pt_BR,"Type changed","Tipo alterado",0,"Tipo alterado"
ticket,history.comment_prefix,,pt_BR,Comment,Comentário,0,Comentário
ticket,history.tags_added,,pt_BR,"Tag added","Etiqueta adicionada",0,"Etiqueta adicionada"
ticket,history.tags_removed,,pt_BR,"Tag removed","Etiqueta removida",0,"Etiqueta removida"
ticket,history.title,,pt_BR,"Ticket history","Histórico do ticket",0,"Histórico do ticket"
ticket,no_description,,pt_BR,"No description","Sem descrição",0,"Sem descrição"
ticket,no_subject,,pt_BR,"No subject","Sem assunto",0,"Sem assunto"
ticket,priority.field.name.label,,pt_BR,"Priority name","Nome da prioridade",0,"Nome da prioridade"
ticket,priority.field.seq.label,,pt_BR,Order,Ordem,0,Ordem
ticket,priority.form.name,,pt_BR,"Ticket priority","Prioridade do ticket",0,"Prioridade do ticket"
ticket,priority.form.name_explanation,,pt_BR,"Enter priority name","Insira o nome da prioridade",0,"Insira o nome da prioridade"
ticket,priority.form.seq_explanation,,pt_BR,"Determines the sort order for this priority","Determina a ordem de classificação para esta prioridade",0,"Determina a ordem de classificação para esta prioridade"
ticket,priority.form.title_create,,pt_BR,"New ticket priority","Nova prioridade de ticket",0,"Nova prioridade de ticket"
ticket,priority.form.title_edit,,pt_BR,"Edit ticket priority","Editar prioridade do ticket",0,"Editar prioridade do ticket"
ticket,priority.saved,,pt_BR,"Priority saved","Prioridade salva",0,"Prioridade salva"
ticket,priority.updated,,pt_BR,"Priority updated","Prioridade atualizada",0,"Prioridade atualizada"
ticket,priority.validation.duplicate,,pt_BR,"This priority already exists","Esta prioridade já existe",0,"Esta prioridade já existe"
ticket,priority.validation.seq_number,,pt_BR,"Order must be a number","A ordem deve ser um número",0,"A ordem deve ser um número"
ticket,priority.validation.seq_range,,pt_BR,"Order must be between 0 and 255","A ordem deve estar entre 0 e 255",0,"A ordem deve estar entre 0 e 255"
ticket,saved,,pt_BR,"Ticket saved","Ticket salvo",0,"Ticket salvo"
ticket,state.field.is_open.label,,pt_BR,"Open status","Status aberto",0,"Status aberto"
ticket,state.field.name.label,,pt_BR,"Status name","Nome do status",0,"Nome do status"
ticket,state.form.is_open_explanation,,pt_BR,"Open status tickets appear in the list when marked as open","Tickets com status aberto aparecem na lista quando marcados como abertos",0,"Tickets com status aberto aparecem na lista quando marcados como abertos"
ticket,state.form.name,,pt_BR,"Ticket status","Status do ticket",0,"Status do ticket"
ticket,state.form.name_explanation,,pt_BR,"Enter status name","Insira o nome do status",0,"Insira o nome do status"
ticket,state.form.title_create,,pt_BR,"New ticket status","Novo status de ticket",0,"Novo status de ticket"
ticket,state.form.title_edit,,pt_BR,"Edit ticket status","Editar status do ticket",0,"Editar status do ticket"
