domain,key,context,locale,source_text,expected_text,human_reviewed,text
ticket,description.heading,,ru_RU,"Ticket #{id}","Тикет №{id}",0,"Тикет №{id}"
ticket,description.id_label,,ru_RU,"Ticket ID","ID тикета",0,"ID тикета"
ticket,description.no_assignee,,ru_RU,"No assignee selected","Исполнитель не выбран",0,"Исполнитель не выбран"
ticket,error.no_id,,ru_RU,"No ID provided","ID не указан",0,"ID не указан"
ticket,error.not_found,,ru_RU,"No such ticket","Такого тикета нет",0,"Такого тикета нет"
ticket,field.assignee_id.label,,ru_RU,"Assignee ID","ID исполнителя",0,"ID исполнителя"
ticket,field.assignee.label,,ru_RU,Assignee,Исполнитель,0,Исполнитель
ticket,field.contactperson_id.label,,ru_RU,"Contact person ID","ID контактного лица",0,"ID контактного лица"
ticket,field.contactperson.label,,ru_RU,"Contact person","Контактное лицо",0,"Контактное лицо"
ticket,field.description.label,,ru_RU,Description,Описание,0,Описание
ticket,field.end_date.label,,ru_RU,"Closed date","Дата закрытия",0,"Дата закрытия"
ticket,field.priority.label,,ru_RU,"Ticket priority","Приоритет тикета",0,"Приоритет тикета"
ticket,field.project_id.label,,ru_RU,"Project ID","ID проекта",0,"ID проекта"
ticket,field.project.label,,ru_RU,Project,Проект,0,Проект
ticket,field.start_date.label,,ru_RU,Date,Дата,0,Дата
ticket,field.state.label,,ru_RU,Status,Статус,0,Статус
ticket,field.subject.label,,ru_RU,Subject,Субъект,0,Субъект
ticket,field.tags.label,,ru_RU,Tags,Теги,0,Теги
ticket,field.type.label,,ru_RU,"Ticket type","Тип тикета",0,"Тип тикета"
ticket,form.assignee_explanation,,ru_RU,"Enter username of assignee","Введите имя пользователя исполнителя",0,"Введите имя пользователя исполнителя"
ticket,form.comment_label,,ru_RU,"Comment (will be added as a note)","Комментарий (будет добавлен как заметка)",0,"Комментарий (будет добавлен как заметка)"
ticket,form.contactperson_explanation,,ru_RU,"Enter contact person name","Введите имя контактного лица",0,"Введите имя контактного лица"
ticket,form.end_date_explanation,,ru_RU,"Enter ticket closure date","Введите дату закрытия тикета",0,"Введите дату закрытия тикета"
ticket,form.name,,ru_RU,Ticket,Тикет,0,Тикет
ticket,form.priority_explanation,,ru_RU,"Select ticket priority","Выберите приоритет тикета",0,"Выберите приоритет тикета"
ticket,form.project_explanation,,ru_RU,"Select project for this ticket","Выберите проект для этого тикета",0,"Выберите проект для этого тикета"
ticket,form.start_date_explanation,,ru_RU,"Enter observation date","Введите дату наблюдения",0,"Введите дату наблюдения"
ticket,form.state_explanation,,ru_RU,"Select ticket status","Выберите статус тикета",0,"Выберите статус тикета"
ticket,form.subject_explanation,,ru_RU,"Enter a brief summary","Введите краткое описание",0,"Введите краткое описание"
ticket,form.tags_explanation,,ru_RU,"Enter tags separated by commas","Введите теги, разделённые запятыми",0,"Введите теги, разделённые запятыми"
ticket,form.title_create,,ru_RU,"New ticket","Новый тикет",0,"Новый тикет"
ticket,form.title_edit,,ru_RU,"Edit ticket","Редактировать тикет",0,"Редактировать тикет"
ticket,form.type_explanation,,ru_RU,"Select ticket type","Выберите тип тикета",0,"Выберите тип тикета"
ticket,history.change.assignee,,ru_RU,"Assignee changed","Исполнитель изменён",0,"Исполнитель изменён"
ticket,history.change.closed_date,,ru_RU,"Closed date changed","Дата закрытия изменена",0,"Дата закрытия изменена"
ticket,history.change.contactperson,,ru_RU,"Contact person changed","Контактное лицо изменено",0,"Контактное лицо изменено"
ticket,history.change.date,,ru_RU,"Date changed","Дата изменена",0,"Дата изменена"
ticket,history.change.description,,ru_RU,"Description changed","Описание изменено",0,"Описание изменено"
ticket,history.change.priority,,ru_RU,"Priority changed","Приоритет изменён",0,"Приоритет изменён"
ticket,history.change.project,,ru_RU,"Project changed","Проект изменён",0,"Проект изменён"
ticket,history.change.status,,ru_RU,"Status changed","Статус изменён",0,"Статус изменён"
ticket,history.change.subject,,ru_RU,"Subject changed","Тема изменена",0,"Тема изменена"
ticket,history.change.type,,ru_RU,"Type changed","Тип изменён",0,"Тип изменён"
ticket,history.comment_prefix,,ru_RU,Comment,Комментарий,0,Комментарий
ticket,history.tags_added,,ru_RU,"Tag added","Тег добавлен",0,"Тег добавлен"
ticket,history.tags_removed,,ru_RU,"Tag removed","Тег удалён",0,"Тег удалён"
ticket,history.title,,ru_RU,"Ticket history","История тикета",0,"История тикета"
ticket,no_description,,ru_RU,"No description","Нет описания",0,"Нет описания"
ticket,no_subject,,ru_RU,"No subject","Без темы",0,"Без темы"
ticket,priority.field.name.label,,ru_RU,"Priority name","Название приоритета",0,"Название приоритета"
ticket,priority.field.seq.label,,ru_RU,Order,Порядок,0,Порядок
ticket,priority.form.name,,ru_RU,"Ticket priority","Приоритет тикета",0,"Приоритет тикета"
ticket,priority.form.name_explanation,,ru_RU,"Enter priority name","Введите название приоритета",0,"Введите название приоритета"
ticket,priority.form.seq_explanation,,ru_RU,"Determines the sort order for this priority","Определяет порядок сортировки для этого приоритета",0,"Определяет порядок сортировки для этого приоритета"
ticket,priority.form.title_create,,ru_RU,"New ticket priority","Новый приоритет тикета",0,"Новый приоритет тикета"
ticket,priority.form.title_edit,,ru_RU,"Edit ticket priority","Редактировать приоритет тикета",0,"Редактировать приоритет тикета"
ticket,priority.saved,,ru_RU,"Priority saved","Приоритет сохранён",0,"Приоритет сохранён"
ticket,priority.updated,,ru_RU,"Priority updated","Приоритет обновлён",0,"Приоритет обновлён"
ticket,priority.validation.duplicate,,ru_RU,"This priority already exists","Этот приоритет уже существует",0,"Этот приоритет уже существует"
ticket,priority.validation.seq_number,,ru_RU,"Order must be a number","Порядок должен быть числом",0,"Порядок должен быть числом"
ticket,priority.validation.seq_range,,ru_RU,"Order must be between 0 and 255","Порядок должен быть в диапазоне от 0 до 255",0,"Порядок должен быть в диапазоне от 0 до 255"
ticket,saved,,ru_RU,"Ticket saved","Тикет сохранён",0,"Тикет сохранён"
ticket,state.field.is_open.label,,ru_RU,"Open status","Открытый статус",0,"Открытый статус"
ticket,state.field.name.label,,ru_RU,"Status name","Название статуса",0,"Название статуса"
ticket,state.form.is_open_explanation,,ru_RU,"Open status tickets appear in the list when marked as open","Тикеты с открытым статусом появляются в списке, когда помечены как открытые",0,"Тикеты с открытым статусом появляются в списке, когда помечены как открытые"
