domain,key,context,locale,source_text,expected_text,human_reviewed,text
timetracker,control.cancel_confirm,,en_US,"Are you sure you want to delete the active time entry?","Are you sure you want to delete the active time entry?",0,"Are you sure you want to delete the active time entry?"
timetracker,control.cancel_title,,en_US,"Delete time entry","Delete time entry",0,"Delete time entry"
timetracker,control.start,,en_US,Start,Start,0,Start
timetracker,control.stop,,en_US,Stop,Stop,0,Stop
timetracker,control.ticket_placeholder,,en_US,"Select a ticket or enter a new title","Select a ticket or enter a new title",0,"Select a ticket or enter a new title"
timetracker,control.title,,en_US,"What are you working on?","What are you working on?",0,"What are you working on?"
timetracker,delete_confirm,,en_US,"Are you sure you want to delete this time entry?","Are you sure you want to delete this time entry?",0,"Are you sure you want to delete this time entry?"
timetracker,deleted,,en_US,"Time entry deleted","Time entry deleted",0,"Time entry deleted"
timetracker,duration.hour,,en_US,hour,hour,0,hour
timetracker,duration.less_than_one_minute,,en_US,"<1 minute","<1 minute",0,"<1 minute"
timetracker,duration.minute,,en_US,minute,minute,0,minute
timetracker,error_save,,en_US,"Error: Unable to save time entry","Error: Unable to save time entry",0,"Error: Unable to save time entry"
timetracker,field.date.explanation,,en_US,"Start time in YYYY-MM-DD HH:mm format","Start time in YYYY-MM-DD HH:mm format",0,"Start time in YYYY-MM-DD HH:mm format"
timetracker,field.date.label,,en_US,Date,Date,0,Date
timetracker,field.description.explanation,,en_US,"Enter a brief description","Enter a brief description",0,"Enter a brief description"
timetracker,field.description.label,,en_US,Description,Description,0,Description
timetracker,field.hours.explanation,,en_US,"End time in YYYY-MM-DD HH:mm format","End time in YYYY-MM-DD HH:mm format",0,"End time in YYYY-MM-DD HH:mm format"
timetracker,field.hours.label,,en_US,Hours,Hours,0,Hours
timetracker,field.ticket_id.label,,en_US,"Ticket ID","Ticket ID",0,"Ticket ID"
timetracker,field.ticket.explanation,,en_US,"Select a ticket or enter a new name","Select a ticket or enter a new name",0,"Select a ticket or enter a new name"
timetracker,field.ticket.label,,en_US,Ticket,Ticket,0,Ticket
timetracker,field.user.explanation,,en_US,"Enter the username for this time entry","Enter the username for this time entry",0,"Enter the username for this time entry"
timetracker,form.name,,en_US,"Time entry","Time entry",0,"Time entry"
timetracker,form.title_create,,en_US,"New time entry","New time entry",0,"New time entry"
timetracker,form.title_edit,,en_US,"Edit time entry","Edit time entry",0,"Edit time entry"
timetracker,list.duration,,en_US,Duration,Duration,0,Duration
timetracker,list.end_time,,en_US,End,End,0,End
timetracker,list.start_time,,en_US,Start,Start,0,Start
timetracker,list.title,,en_US,"Time tracking","Time tracking",0,"Time tracking"
timetracker,saved,,en_US,"Time entry saved","Time entry saved",0,"Time entry saved"
timetracker,updated,,en_US,"Time entry updated","Time entry updated",0,"Time entry updated"
timetracker,validation.description_max_length,,en_US,"Description must not exceed 255 characters","Description must not exceed 255 characters",0,"Description must not exceed 255 characters"
timetracker,validation.ticket_max_length,,en_US,"Ticket name must not exceed 255 characters","Ticket name must not exceed 255 characters",0,"Ticket name must not exceed 255 characters"
