domain,key,context,locale,source_text,expected_text,human_reviewed,text
timetracker,control.cancel_confirm,,ja_JP,"Are you sure you want to delete the active time entry?",アクティブな時間記録を削除しますか？,0,アクティブな時間記録を削除しますか？
timetracker,control.cancel_title,,ja_JP,"Delete time entry",時間記録を削除,0,時間記録を削除
timetracker,control.start,,ja_JP,Start,開始,0,開始
timetracker,control.stop,,ja_JP,Stop,停止,0,停止
timetracker,control.ticket_placeholder,,ja_JP,"Select a ticket or enter a new title",チケットを選択または新しいタイトルを入力,0,チケットを選択または新しいタイトルを入力
timetracker,control.title,,ja_JP,"What are you working on?",何に取り組んでいますか？,0,何に取り組んでいますか？
timetracker,delete_confirm,,ja_JP,"Are you sure you want to delete this time entry?",この時間記録を削除しますか？,0,この時間記録を削除しますか？
timetracker,deleted,,ja_JP,"Time entry deleted",時間記録を削除しました,0,時間記録を削除しました
timetracker,duration.hour,,ja_JP,hour,時間,0,時間
timetracker,duration.less_than_one_minute,,ja_JP,"<1 minute",1分未満,0,1分未満
timetracker,duration.minute,,ja_JP,minute,分,0,分
timetracker,error_save,,ja_JP,"Error: Unable to save time entry",エラー：時間記録を保存できません,0,エラー：時間記録を保存できません
timetracker,field.date.explanation,,ja_JP,"Start time in YYYY-MM-DD HH:mm format","開始時刻（YYYY-MM-DD HH:mm形式）",0,"開始時刻（YYYY-MM-DD HH:mm形式）"
timetracker,field.date.label,,ja_JP,Date,日付,0,日付
timetracker,field.description.explanation,,ja_JP,"Enter a brief description",簡単な説明を入力,0,簡単な説明を入力
timetracker,field.description.label,,ja_JP,Description,説明,0,説明
timetracker,field.hours.explanation,,ja_JP,"End time in YYYY-MM-DD HH:mm format","終了時刻（YYYY-MM-DD HH:mm形式）",0,"終了時刻（YYYY-MM-DD HH:mm形式）"
timetracker,field.hours.label,,ja_JP,Hours,時間,0,時間
timetracker,field.ticket_id.label,,ja_JP,"Ticket ID",チケットID,0,チケットID
timetracker,field.ticket.explanation,,ja_JP,"Select a ticket or enter a new name",チケットを選択または新しい名前を入力,0,チケットを選択または新しい名前を入力
timetracker,field.ticket.label,,ja_JP,Ticket,チケット,0,チケット
timetracker,field.user.explanation,,ja_JP,"Enter the username for this time entry",この時間記録のユーザー名を入力,0,この時間記録のユーザー名を入力
timetracker,form.name,,ja_JP,"Time entry",時間記録,0,時間記録
timetracker,form.title_create,,ja_JP,"New time entry",新しい時間記録,0,新しい時間記録
timetracker,form.title_edit,,ja_JP,"Edit time entry",時間記録を編集,0,時間記録を編集
timetracker,list.duration,,ja_JP,Duration,所要時間,0,所要時間
timetracker,list.end_time,,ja_JP,End,終了,0,終了
timetracker,list.start_time,,ja_JP,Start,開始,0,開始
timetracker,list.title,,ja_JP,"Time tracking",時間追跡,0,時間追跡
timetracker,saved,,ja_JP,"Time entry saved",時間記録を保存しました,0,時間記録を保存しました
timetracker,updated,,ja_JP,"Time entry updated",時間記録を更新しました,0,時間記録を更新しました
timetracker,validation.description_max_length,,ja_JP,"Description must not exceed 255 characters",説明は255文字以内にしてください,0,説明は255文字以内にしてください
timetracker,validation.ticket_max_length,,ja_JP,"Ticket name must not exceed 255 characters",チケット名は255文字以内にしてください,0,チケット名は255文字以内にしてください
