domain,key,context,locale,source_text,expected_text,human_reviewed,text
timetracker,control.cancel_confirm,,ko_KR,"Are you sure you want to delete the active time entry?","활성 시간 항목을 삭제하시겠습니까?",0,"활성 시간 항목을 삭제하시겠습니까?"
timetracker,control.cancel_title,,ko_KR,"Delete time entry","시간 항목 삭제",0,"시간 항목 삭제"
timetracker,control.start,,ko_KR,Start,시작,0,시작
timetracker,control.stop,,ko_KR,Stop,중지,0,중지
timetracker,control.ticket_placeholder,,ko_KR,"Select a ticket or enter a new title","티켓을 선택하거나 새 제목을 입력하세요",0,"티켓을 선택하거나 새 제목을 입력하세요"
timetracker,control.title,,ko_KR,"What are you working on?","무엇을 하고 있나요?",0,"무엇을 하고 있나요?"
timetracker,delete_confirm,,ko_KR,"Are you sure you want to delete this time entry?","이 시간 항목을 삭제하시겠습니까?",0,"이 시간 항목을 삭제하시겠습니까?"
timetracker,deleted,,ko_KR,"Time entry deleted","시간 항목 삭제됨",0,"시간 항목 삭제됨"
timetracker,duration.hour,,ko_KR,hour,시간,0,시간
timetracker,duration.less_than_one_minute,,ko_KR,"<1 minute","1분 미만",0,"1분 미만"
timetracker,duration.minute,,ko_KR,minute,분,0,분
timetracker,error_save,,ko_KR,"Error: Unable to save time entry","오류: 시간 항목을 저장할 수 없습니다",0,"오류: 시간 항목을 저장할 수 없습니다"
timetracker,field.date.explanation,,ko_KR,"Start time in YYYY-MM-DD HH:mm format","YYYY-MM-DD HH:mm 형식의 시작 시간",0,"YYYY-MM-DD HH:mm 형식의 시작 시간"
timetracker,field.date.label,,ko_KR,Date,날짜,0,날짜
timetracker,field.description.explanation,,ko_KR,"Enter a brief description","간략한 설명을 입력하세요",0,"간략한 설명을 입력하세요"
timetracker,field.description.label,,ko_KR,Description,설명,0,설명
timetracker,field.hours.explanation,,ko_KR,"End time in YYYY-MM-DD HH:mm format","YYYY-MM-DD HH:mm 형식의 종료 시간",0,"YYYY-MM-DD HH:mm 형식의 종료 시간"
timetracker,field.hours.label,,ko_KR,Hours,시간,0,시간
timetracker,field.ticket_id.label,,ko_KR,"Ticket ID","티켓 ID",0,"티켓 ID"
timetracker,field.ticket.explanation,,ko_KR,"Select a ticket or enter a new name","티켓을 선택하거나 새 이름을 입력하세요",0,"티켓을 선택하거나 새 이름을 입력하세요"
timetracker,field.ticket.label,,ko_KR,Ticket,티켓,0,티켓
timetracker,field.user.explanation,,ko_KR,"Enter the username for this time entry","이 시간 항목의 사용자명을 입력하세요",0,"이 시간 항목의 사용자명을 입력하세요"
timetracker,form.name,,ko_KR,"Time entry","시간 항목",0,"시간 항목"
timetracker,form.title_create,,ko_KR,"New time entry","새 시간 항목",0,"새 시간 항목"
timetracker,form.title_edit,,ko_KR,"Edit time entry","시간 항목 편집",0,"시간 항목 편집"
timetracker,list.duration,,ko_KR,Duration,기간,0,기간
timetracker,list.end_time,,ko_KR,End,종료,0,종료
timetracker,list.start_time,,ko_KR,Start,시작,0,시작
timetracker,list.title,,ko_KR,"Time tracking","시간 추적",0,"시간 추적"
timetracker,saved,,ko_KR,"Time entry saved","시간 항목 저장됨",0,"시간 항목 저장됨"
timetracker,updated,,ko_KR,"Time entry updated","시간 항목 업데이트됨",0,"시간 항목 업데이트됨"
timetracker,validation.description_max_length,,ko_KR,"Description must not exceed 255 characters","설명은 255자를 초과할 수 없습니다",0,"설명은 255자를 초과할 수 없습니다"
timetracker,validation.ticket_max_length,,ko_KR,"Ticket name must not exceed 255 characters","티켓 이름은 255자를 초과할 수 없습니다",0,"티켓 이름은 255자를 초과할 수 없습니다"
