domain,key,context,locale,source_text,expected_text,human_reviewed,text
timetracker,control.cancel_confirm,,pl_PL,"Are you sure you want to delete the active time entry?","Czy na pewno chcesz usunąć aktywny wpis czasu?",0,"Czy na pewno chcesz usunąć aktywny wpis czasu?"
timetracker,control.cancel_title,,pl_PL,"Delete time entry","Usuń wpis czasu",0,"Usuń wpis czasu"
timetracker,control.start,,pl_PL,Start,Start,0,Start
timetracker,control.stop,,pl_PL,Stop,Stop,0,Stop
timetracker,control.ticket_placeholder,,pl_PL,"Select a ticket or enter a new title","Wybierz zgłoszenie albo wpisz nowy tytuł",0,"Wybierz zgłoszenie albo wpisz nowy tytuł"
timetracker,control.title,,pl_PL,"What are you working on?","Nad czym pracujesz?",0,"Nad czym pracujesz?"
timetracker,delete_confirm,,pl_PL,"Are you sure you want to delete this time entry?","Czy na pewno chcesz usunąć ten wpis czasu?",0,"Czy na pewno chcesz usunąć ten wpis czasu?"
timetracker,deleted,,pl_PL,"Time entry deleted","Usunięto wpis czasu",0,"Usunięto wpis czasu"
timetracker,duration.hour,,pl_PL,hour,godzina,0,godzina
timetracker,duration.less_than_one_minute,,pl_PL,"<1 minute","<1 minuta",0,"<1 minuta"
timetracker,duration.minute,,pl_PL,minute,minuta,0,minuta
timetracker,error_save,,pl_PL,"Error: Unable to save time entry","Błąd: nie udało się zapisać wpisu czasu",0,"Błąd: nie udało się zapisać wpisu czasu"
timetracker,field.date.explanation,,pl_PL,"Start time in YYYY-MM-DD HH:mm format","Czas rozpoczęcia w formacie YYYY-MM-DD HH:mm",0,"Czas rozpoczęcia w formacie YYYY-MM-DD HH:mm"
timetracker,field.date.label,,pl_PL,Date,Data,0,Data
timetracker,field.description.explanation,,pl_PL,"Enter a brief description","Wpisz krótki opis",0,"Wpisz krótki opis"
timetracker,field.description.label,,pl_PL,Description,Opis,0,Opis
timetracker,field.hours.explanation,,pl_PL,"End time in YYYY-MM-DD HH:mm format","Czas zakończenia w formacie YYYY-MM-DD HH:mm",0,"Czas zakończenia w formacie YYYY-MM-DD HH:mm"
timetracker,field.hours.label,,pl_PL,Hours,Godziny,0,Godziny
timetracker,field.ticket_id.label,,pl_PL,"Ticket ID","ID zgłoszenia",0,"ID zgłoszenia"
timetracker,field.ticket.explanation,,pl_PL,"Select a ticket or enter a new name","Wybierz zgłoszenie albo wpisz nową nazwę",0,"Wybierz zgłoszenie albo wpisz nową nazwę"
timetracker,field.ticket.label,,pl_PL,Ticket,Zgłoszenie,0,Zgłoszenie
timetracker,field.user.explanation,,pl_PL,"Enter the username for this time entry","Wpisz nazwę użytkownika dla tego wpisu czasu",0,"Wpisz nazwę użytkownika dla tego wpisu czasu"
timetracker,form.name,,pl_PL,"Time entry","Wpis czasu",0,"Wpis czasu"
timetracker,form.title_create,,pl_PL,"New time entry","Nowy wpis czasu",0,"Nowy wpis czasu"
timetracker,form.title_edit,,pl_PL,"Edit time entry","Edytuj wpis czasu",0,"Edytuj wpis czasu"
timetracker,list.duration,,pl_PL,Duration,"Czas trwania",0,"Czas trwania"
timetracker,list.end_time,,pl_PL,End,Koniec,0,Koniec
timetracker,list.start_time,,pl_PL,Start,Start,0,Start
timetracker,list.title,,pl_PL,"Time tracking","Śledzenie czasu",0,"Śledzenie czasu"
timetracker,saved,,pl_PL,"Time entry saved","Zapisano wpis czasu",0,"Zapisano wpis czasu"
timetracker,updated,,pl_PL,"Time entry updated","Zaktualizowano wpis czasu",0,"Zaktualizowano wpis czasu"
timetracker,validation.description_max_length,,pl_PL,"Description must not exceed 255 characters","Opis nie może przekraczać 255 znaków",0,"Opis nie może przekraczać 255 znaków"
timetracker,validation.ticket_max_length,,pl_PL,"Ticket name must not exceed 255 characters","Nazwa zgłoszenia nie może przekraczać 255 znaków",0,"Nazwa zgłoszenia nie może przekraczać 255 znaków"
